index,id,group,phase,score
1,1,2,1,59.0591596690367
2,1,2,2,25.1634482779246
3,1,2,2,26.1367455840284
4,1,2,2,20.1336732387846
5,1,2,2,19.6589338433913
6,1,2,2,24.7384762819947
7,1,2,3,37.9867117239666
8,2,1,1,62.1180692721981
9,2,1,2,24.0590788865688
10,2,1,2,13.9966865845236
11,2,1,2,19.7638983461589
12,2,1,2,18.5562529421388
13,2,1,2,17.4350603531264
14,2,1,3,37.2393472946726
15,3,1,1,52.3019587971967
16,3,1,2,28.9482880718632
17,3,1,2,26.1917635583414
18,3,1,2,14.1642817821433
19,3,1,2,18.3716374000534
20,3,1,2,14.1290500172144
21,3,1,3,34.6626517647827
22,4,1,1,99.6635371396033
23,4,1,2,28.2469116608987
24,4,1,2,21.0810070256585
25,4,1,2,19.2672536260948
26,4,1,2,22.22227503097
27,4,1,2,21.888377924048
28,4,1,3,127.844800840277
29,5,2,1,87.1361164158053
30,5,2,2,28.7621236717567
31,5,2,2,23.3236790733535
32,5,2,2,22.0480456992192
33,5,2,2,18.4058015336411
34,5,2,2,23.0472746848119
35,5,2,3,118.762650171817
36,6,2,1,75.1837920151789
37,6,2,2,39.3537179768871
38,6,2,2,24.2326391545146
39,6,2,2,15.6192670832518
40,6,2,2,18.4126007899453
41,6,2,2,17.5888238444561
42,6,2,3,11.3028843488223
43,7,2,1,92.3130818434284
44,7,2,2,38.615586476584
45,7,2,2,30.8144318221135
46,7,2,2,32.5286089922518
47,7,2,2,27.8611201753736
48,7,2,2,19.4136455588595
49,7,2,3,41.9411979157112
50,8,2,1,62.3846548585288
51,8,2,2,16.653705440012
52,8,2,2,18.2850958454061
53,8,2,2,20.9681655950205
54,8,2,2,23.6455488958899
55,8,2,2,33.8282926477862
56,8,2,3,57.5942616819063
57,9,2,1,31.180418321538
58,9,2,2,29.2806836520282
59,9,2,2,21.3526910457593
60,9,2,2,23.8824086924647
61,9,2,2,24.2423651922543
62,9,2,2,23.3123218203911
63,9,2,3,46.0892860239014
64,10,2,1,26.7248687605362
65,10,2,2,23.391404255136
66,10,2,2,24.0393703475692
67,10,2,2,22.1642353069936
68,10,2,2,23.102769880602
69,10,2,2,16.5132203680064
70,10,2,3,23.7606278512439
71,11,1,1,49.8923134814376
72,11,1,2,57.0403469056188
73,11,1,2,41.344263207165
74,11,1,2,34.3219069733059
75,11,1,2,31.6434036994169
76,11,1,2,22.4499434003496
77,11,1,3,38.6966906839219
78,12,2,1,50.0898584844359
79,12,2,2,28.1140945604942
80,12,2,2,37.2423276634908
81,12,2,2,35.2514694102444
82,12,2,2,15.2444242734573
83,12,2,2,22.6346284303363
84,12,2,3,52.6668932560717
85,13,2,1,37.9599292959183
86,13,2,2,19.0264324122493
87,13,2,2,13.8949632743344
88,13,2,2,22.0039054027716
89,13,2,2,12.5398584058449
90,13,2,2,10.5091574623986
91,13,2,3,75.7372642255663
92,14,1,1,33.7503413421049
93,14,1,2,22.476781820715
94,14,1,2,16.8352478913098
95,14,1,2,15.512949185432
96,14,1,2,21.0668011462564
97,14,1,2,17.0012169320209
98,14,1,3,49.2160536984521
99,15,2,1,35.3239815525465
100,15,2,2,22.8604671767978
101,15,2,2,35.2342302058221
102,15,2,2,24.990233988647
103,15,2,2,30.295557676531
104,15,2,2,27.699319529764
105,15,2,3,58.2731007410937
106,16,2,1,70.7476364996058
107,16,2,2,25.3502843795958
108,16,2,2,23.2274325127779
109,16,2,2,19.2454311471408
110,16,2,2,17.8961003858592
111,16,2,2,14.86316518162
112,16,2,3,76.0117618419963
113,17,2,1,38.6867572496209
114,17,2,2,31.883305626123
115,17,2,2,36.0952752479654
116,17,2,2,24.2980156875157
117,17,2,2,21.4215507220847
118,17,2,2,22.6276601295202
119,17,2,3,40.8748905835363
120,18,2,1,115.87212790911
121,18,2,2,35.9612624126843
122,18,2,2,27.8690518669407
123,18,2,2,24.3545651656404
124,18,2,2,21.1500477070832
125,18,2,2,28.5623914951075
126,18,2,3,103.951040782984
127,19,1,1,59.5672886802222
128,19,1,2,28.6835154601844
129,19,1,2,36.2932004888974
130,19,1,2,28.8488248288952
131,19,1,2,27.1608773024642
132,19,1,2,30.5692241349637
133,19,1,3,84.3204069827206
134,20,1,1,63.8483310801666
135,20,1,2,45.9677469719072
136,20,1,2,29.1896863428305
137,20,1,2,30.4533427216746
138,20,1,2,31.1726199701854
139,20,1,2,26.1548845488831
140,20,1,3,115.442702658056
141,21,1,1,119.708184927142
142,21,1,2,28.6960489532806
143,21,1,2,24.0630042720882
144,21,1,2,33.9491452673477
145,21,1,2,26.5086832465832
146,21,1,2,22.8796515493447
147,21,1,3,24.8503109952916
148,23,2,1,128.10676586113
149,23,2,2,31.1903596376593
150,23,2,2,19.7808812966043
151,23,2,2,20.3364548404778
152,23,2,2,22.6535040435744
153,23,2,2,16.7107821035299
154,23,2,3,33.5313843415963
155,24,1,1,111.949820808805
156,24,1,2,38.819915518995
157,24,1,2,33.5515975874015
158,24,1,2,23.2874546818596
159,24,1,2,26.9827914789346
160,24,1,2,27.8793326200972
161,24,1,3,51.328456009672
162,25,1,1,51.5905171483569
163,25,1,2,23.0298827727268
164,25,1,2,17.4997886724937
165,25,1,2,20.1268774986401
166,25,1,2,11.9921836457003
167,25,1,2,19.9115717382307
168,25,1,3,29.7228340520791
169,26,1,1,21.9712270007225
170,26,1,2,12.2081041453201
171,26,1,2,13.5268967671707
172,26,1,2,13.1303924455927
173,26,1,2,9.06613092474112
174,26,1,2,10.5510053449552
175,26,1,3,24.8286467446408
176,27,1,1,43.3000543797485
177,27,1,2,21.2041241809102
178,27,1,2,25.3506394958335
179,27,1,2,11.5456297305529
180,27,1,2,19.5892557522137
181,27,1,2,19.9560889748478
182,27,1,3,39.6604122579037
183,28,1,1,43.182178542023
184,28,1,2,25.9826245081477
185,28,1,2,22.5243397187714
186,28,1,2,23.9648808421766
187,28,1,2,27.5423909415999
188,28,1,2,22.1569583507465
189,28,1,3,31.9097324531055
190,29,1,1,135.065502427807
191,29,1,2,49.3248081595169
192,29,1,2,30.7571607331665
193,29,1,2,41.2152484961772
194,29,1,2,27.2698199025792
195,29,1,2,15.0832525592712
196,29,1,3,88.4296539781834
197,30,2,1,39.4997178615004
198,30,2,2,24.6548239447742
199,30,2,2,24.0746528542704
200,30,2,2,29.4076808881755
201,30,2,2,18.2359167286806
202,30,2,2,14.802970530133
203,30,2,3,43.1617002892931
204,31,2,1,40.113510444189
205,31,2,2,40.2293417210575
206,31,2,2,28.5898783573379
207,31,2,2,18.5186370426575
208,31,2,2,15.7565468734259
209,31,2,2,24.6694040007333
210,31,2,3,76.3229164931377
211,32,1,1,88.6190458588198
212,32,1,2,28.8032672017648
213,32,1,2,48.9757024081426
214,32,1,2,33.1585458391936
215,32,1,2,23.5236815585167
216,32,1,2,31.8218824914412
217,32,1,3,75.0768052082802
218,33,2,1,79.5744901009591
219,33,2,2,49.3708508107395
220,33,2,2,40.5654199190454
221,33,2,2,32.4354394196334
222,33,2,2,21.4113509997786
223,33,2,2,25.4626076435134
224,33,2,3,57.2454496179071
225,34,1,1,32.1393115200583
226,34,1,2,21.1646334012648
227,34,1,2,23.2436639342029
228,34,1,2,26.0471210272015
229,34,1,2,18.2239210615233
230,34,1,2,25.0390954444275
231,34,1,3,49.0509889184338
232,35,1,1,121.169995122666
233,35,1,2,51.1677328526354
234,35,1,2,42.36547458127
235,35,1,2,41.1565448760735
236,35,1,2,43.9424011612049
237,35,1,2,35.363665420615
238,35,1,3,106.812642329128
239,36,2,1,62.7553907307047
240,36,2,2,37.5146221452261
241,36,2,2,20.3416727030457
242,36,2,2,22.2466933332985
243,36,2,2,24.2652007219063
244,36,2,2,17.1579019301625
245,36,2,3,20.6124925914958
246,37,1,1,107.269794146786
247,37,1,2,28.8038317733035
248,37,1,2,24.9095067440892
249,37,1,2,24.796075565326
250,37,1,2,22.3720402205982
251,37,1,2,19.814435203925
252,37,1,3,40.6081691394132
253,38,2,1,56.7924475295653
254,38,2,2,42.2041565970924
255,38,2,2,32.7256399252725
256,38,2,2,22.5049159056948
257,38,2,2,42.9258001594836
258,38,2,2,36.3919889515547
259,38,2,3,78.382626665676
260,39,1,1,33.8856947452375
261,39,1,2,13.3269163978133
262,39,1,2,23.2927693606728
263,39,1,2,17.3341022517525
264,39,1,2,15.8287607037374
265,39,1,2,21.275846554515
266,39,1,3,35.1483466984428
267,40,2,1,47.4482076903001
268,40,2,2,31.4268838198659
269,40,2,2,37.5193965217705
270,40,2,2,20.6081911912172
271,40,2,2,23.5813271896876
272,40,2,2,17.9417729534359
273,40,2,3,33.347542954557
274,41,2,1,41.4124603620777
275,41,2,2,34.6336521735888
276,41,2,2,21.2698751352109
277,41,2,2,23.3622246702213
278,41,2,2,24.8374211407374
279,41,2,2,19.9558824111888
280,41,2,3,28.0735580070034
