Grp	sID	Phase	Trial	S/L	L/R	
2.000	65.000	2.000	1.000	-31.978	-4.976
2.000	65.000	2.000	2.000	41.363	-15.774
2.000	65.000	2.000	3.000	30.356	-24.848
2.000	65.000	2.000	4.000	21.575	-12.265
2.000	65.000	2.000	5.000	-18.891	-3.477
2.000	65.000	2.000	6.000	-17.308	-8.002
2.000	65.000	2.000	7.000	13.601	-11.098
2.000	65.000	2.000	8.000	-43.891	-2.536
2.000	65.000	2.000	9.000	-43.287	-10.310
2.000	65.000	2.000	10.000	6.906	-9.436
2.000	65.000	2.000	1.000	132.000	-25.772
2.000	65.000	2.000	2.000	37.317	-9.089
2.000	65.000	2.000	3.000	12.722	-14.938
2.000	65.000	2.000	4.000	-26.962	-2.605
2.000	65.000	2.000	5.000	-14.343	-15.378
2.000	65.000	2.000	6.000	-54.422	-2.456
2.000	65.000	2.000	7.000	-7.762	-7.887
2.000	65.000	2.000	8.000	-41.724	-3.320
2.000	65.000	2.000	9.000	4.048	-7.670
2.000	65.000	2.000	10.000	16.756	-14.242
2.000	65.000	2.000	1.000	-4.713	-6.504
2.000	65.000	2.000	2.000	8.471	-3.824
2.000	65.000	2.000	3.000	10.257	-12.580
2.000	65.000	2.000	4.000	-19.079	-8.202
2.000	65.000	2.000	5.000	8.382	-9.532
2.000	65.000	2.000	6.000	-55.114	-0.489
2.000	65.000	2.000	7.000	18.628	-15.321
2.000	65.000	2.000	8.000	-5.794	-7.490
2.000	65.000	2.000	9.000	-21.046	-9.189
2.000	65.000	2.000	10.000	-6.183	-9.951
2.000	65.000	2.000	1.000	-1.262	-10.139
2.000	65.000	2.000	2.000	-34.361	7.125
2.000	65.000	2.000	3.000	1.761	6.203
2.000	65.000	2.000	4.000	-26.857	-6.640
2.000	65.000	2.000	5.000	12.408	-4.014
2.000	65.000	2.000	6.000	32.592	-8.999
2.000	65.000	2.000	7.000	-32.795	12.640
2.000	65.000	2.000	8.000	17.213	6.132
2.000	65.000	2.000	9.000	-37.888	-1.837
2.000	65.000	2.000	10.000	-4.816	-4.043
2.000	65.000	2.000	1.000	15.441	6.522
2.000	65.000	2.000	2.000	-2.936	-9.847
2.000	65.000	2.000	3.000	30.321	-4.278
2.000	65.000	2.000	4.000	-34.735	-4.095
2.000	65.000	2.000	5.000	-36.037	8.796
2.000	65.000	2.000	6.000	23.603	10.473
2.000	65.000	2.000	7.000	15.325	16.758
2.000	65.000	2.000	8.000	-12.591	-4.155
2.000	65.000	2.000	9.000	28.727	6.840
2.000	65.000	2.000	10.000	-28.343	-1.328
2.000	65.000	2.000	1.000	8.770	-6.284
2.000	65.000	2.000	2.000	11.035	-6.969
2.000	65.000	2.000	3.000	-5.408	-2.765
2.000	65.000	2.000	4.000	23.040	-5.669
2.000	65.000	2.000	5.000	-10.120	-10.056
2.000	65.000	2.000	6.000	-24.302	-4.175
2.000	65.000	2.000	7.000	11.625	-6.574
2.000	65.000	2.000	8.000	-35.839	8.206
2.000	65.000	2.000	9.000	-7.083	-2.079
2.000	65.000	2.000	10.000	-29.831	5.559
2.000	65.000	2.000	1.000	-43.317	7.012
2.000	65.000	2.000	2.000	3.662	-11.607
2.000	65.000	2.000	3.000	-19.486	-0.624
2.000	65.000	2.000	4.000	9.141	7.200
2.000	65.000	2.000	5.000	19.695	-6.659
2.000	65.000	2.000	6.000	-3.241	-4.139
2.000	65.000	2.000	7.000	-21.358	0.554
2.000	65.000	2.000	8.000	30.210	2.709
2.000	65.000	2.000	9.000	5.722	-7.962
2.000	65.000	2.000	10.000	6.595	-0.481
2.000	65.000	2.000	1.000	-13.076	-7.994
2.000	65.000	2.000	2.000	12.882	6.223
2.000	65.000	2.000	3.000	-6.293	-3.652
2.000	65.000	2.000	4.000	3.943	-3.832
2.000	65.000	2.000	5.000	-32.174	-5.272
2.000	65.000	2.000	6.000	19.499	-7.151
2.000	65.000	2.000	7.000	-20.470	-1.019
2.000	65.000	2.000	8.000	-1.067	-8.860
2.000	65.000	2.000	9.000	-18.412	4.397
2.000	65.000	2.000	10.000	-8.154	-8.773
2.000	65.000	2.000	1.000	-29.621	-1.921
2.000	65.000	2.000	2.000	24.224	-7.635
2.000	65.000	2.000	3.000	20.980	-9.511
2.000	65.000	2.000	4.000	-38.772	-3.019
2.000	65.000	2.000	5.000	-3.929	-4.239
2.000	65.000	2.000	6.000	-26.273	-3.096
2.000	65.000	2.000	7.000	-26.862	-4.081
2.000	65.000	2.000	8.000	7.613	-19.868
2.000	65.000	2.000	9.000	-33.077	4.372
2.000	65.000	2.000	10.000	34.758	-9.192
2.000	65.000	2.000	1.000	-11.522	4.212
2.000	65.000	2.000	2.000	20.881	-9.412
2.000	65.000	2.000	3.000	8.880	-12.976
2.000	65.000	2.000	4.000	-5.796	-6.210
2.000	65.000	2.000	5.000	-29.817	-2.217
2.000	65.000	2.000	6.000	19.794	-6.757
2.000	65.000	2.000	7.000	-17.781	-19.124
2.000	65.000	2.000	8.000	23.138	-5.570
2.000	65.000	2.000	9.000	22.942	-5.866
2.000	65.000	2.000	10.000	-4.526	-0.795
