Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	9.000	2.000	1.000	-37.688	-2.994	37.807
2.000	9.000	2.000	2.000	-42.988	-3.410	43.123
2.000	9.000	2.000	3.000	37.634	-1.703	37.673
2.000	9.000	2.000	4.000	-2.366	-15.685	15.862
2.000	9.000	2.000	5.000	-6.849	-12.016	13.831
2.000	9.000	2.000	6.000	7.798	2.000	8.051
2.000	9.000	2.000	7.000	27.130	-17.811	32.454
2.000	9.000	2.000	8.000	-45.089	-1.776	45.124
2.000	9.000	2.000	9.000	-37.811	-3.773	37.999
2.000	9.000	2.000	10.000	18.691	-9.316	20.884
2.000	9.000	2.000	1.000	-2.000	-16.480	16.601
2.000	9.000	2.000	2.000	25.596	-7.678	26.723
2.000	9.000	2.000	3.000	8.757	-13.792	16.337
2.000	9.000	2.000	4.000	-41.877	3.700	42.041
2.000	9.000	2.000	5.000	4.811	-11.707	12.657
2.000	9.000	2.000	6.000	-8.350	-6.975	10.880
2.000	9.000	2.000	7.000	35.335	-18.369	39.824
2.000	9.000	2.000	8.000	-4.842	-10.514	11.576
2.000	9.000	2.000	9.000	-5.902	14.287	15.458
2.000	9.000	2.000	10.000	-21.429	0.300	21.431
2.000	9.000	2.000	1.000	14.647	-16.331	21.937
2.000	9.000	2.000	2.000	-5.101	-15.499	16.316
2.000	9.000	2.000	3.000	-38.142	1.133	38.159
2.000	9.000	2.000	4.000	-2.205	1.442	2.635
2.000	9.000	2.000	5.000	32.060	4.546	32.381
2.000	9.000	2.000	6.000	-26.956	11.051	29.133
2.000	9.000	2.000	7.000	-54.275	4.786	54.486
2.000	9.000	2.000	8.000	-35.398	-4.830	35.726
2.000	9.000	2.000	9.000	-2.088	2.025	2.909
2.000	9.000	2.000	10.000	-4.732	2.013	5.142
2.000	9.000	2.000	1.000	25.054	2.814	25.211
2.000	9.000	2.000	2.000	-23.073	3.975	23.413
2.000	9.000	2.000	3.000	-13.830	14.347	19.927
2.000	9.000	2.000	4.000	-31.855	4.845	32.222
2.000	9.000	2.000	5.000	23.177	11.391	25.825
2.000	9.000	2.000	6.000	-18.937	-7.416	20.338
2.000	9.000	2.000	7.000	40.341	6.334	40.835
2.000	9.000	2.000	8.000	-16.817	3.675	17.214
2.000	9.000	2.000	9.000	-6.457	3.145	7.183
2.000	9.000	2.000	10.000	-29.666	5.950	30.257
2.000	9.000	2.000	1.000	-18.618	-3.609	18.965
2.000	9.000	2.000	2.000	-2.956	-3.625	4.677
2.000	9.000	2.000	3.000	22.565	-10.615	24.937
2.000	9.000	2.000	4.000	23.776	-12.514	26.869
2.000	9.000	2.000	5.000	7.322	-15.801	17.415
2.000	9.000	2.000	6.000	-6.581	-12.808	14.399
2.000	9.000	2.000	7.000	-26.884	10.265	28.777
2.000	9.000	2.000	8.000	-31.174	7.760	32.125
2.000	9.000	2.000	9.000	-34.615	7.284	35.374
2.000	9.000	2.000	10.000	24.798	16.136	29.586
2.000	9.000	2.000	1.000	25.256	6.038	25.967
2.000	9.000	2.000	2.000	4.902	6.303	7.985
2.000	9.000	2.000	3.000	4.161	-1.505	4.425
2.000	9.000	2.000	4.000	-22.615	6.016	23.402
2.000	9.000	2.000	5.000	-11.514	-10.984	15.913
2.000	9.000	2.000	6.000	-7.558	-3.672	8.403
2.000	9.000	2.000	7.000	16.398	-7.577	18.064
2.000	9.000	2.000	8.000	39.376	-11.451	41.007
2.000	9.000	2.000	9.000	-25.760	5.628	26.368
