Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	27.000	2.000	1.000	-8.994	-7.196	11.518
1.000	27.000	2.000	2.000	10.600	-13.002	16.776
1.000	27.000	2.000	3.000	-8.897	-7.684	11.756
1.000	27.000	2.000	4.000	-43.127	-2.426	43.195
1.000	27.000	2.000	5.000	53.816	-13.796	55.557
1.000	27.000	2.000	6.000	5.428	-13.672	14.710
1.000	27.000	2.000	7.000	-1.203	-12.387	12.445
1.000	27.000	2.000	8.000	17.255	-5.020	17.970
1.000	27.000	2.000	9.000	14.014	-13.206	19.256
1.000	27.000	2.000	10.000	-8.494	-2.515	8.858
1.000	27.000	2.000	1.000	41.060	-4.496	41.306
1.000	27.000	2.000	2.000	-41.071	0.398	41.073
1.000	27.000	2.000	3.000	-10.258	-5.632	11.702
1.000	27.000	2.000	4.000	25.632	-9.822	27.450
1.000	27.000	2.000	5.000	22.014	-13.324	25.732
1.000	27.000	2.000	6.000	-8.519	-12.270	14.938
1.000	27.000	2.000	7.000	12.062	-13.592	18.172
1.000	27.000	2.000	8.000	32.374	-5.937	32.914
1.000	27.000	2.000	9.000	11.390	-9.395	14.765
1.000	27.000	2.000	10.000	24.272	-7.672	25.456
1.000	27.000	2.000	1.000	-19.906	-1.510	19.963
1.000	27.000	2.000	2.000	18.716	-5.804	19.595
1.000	27.000	2.000	3.000	-2.248	-1.750	2.849
1.000	27.000	2.000	4.000	15.596	-5.113	16.413
1.000	27.000	2.000	5.000	2.609	-9.665	10.011
1.000	27.000	2.000	6.000	-4.984	-3.304	5.980
1.000	27.000	2.000	7.000	18.514	-8.340	20.306
1.000	27.000	2.000	8.000	-3.528	-6.235	7.164
1.000	27.000	2.000	9.000	-8.983	-3.099	9.503
1.000	27.000	2.000	10.000	0.674	-3.611	3.674
1.000	27.000	2.000	1.000	2.409	-11.518	11.767
1.000	27.000	2.000	2.000	-11.813	-3.384	12.288
1.000	27.000	2.000	3.000	31.197	-8.275	32.276
1.000	27.000	2.000	4.000	-11.808	-1.335	11.883
1.000	27.000	2.000	5.000	23.979	-7.769	25.206
1.000	27.000	2.000	6.000	-26.751	-7.833	27.874
1.000	27.000	2.000	7.000	46.555	7.880	47.217
1.000	27.000	2.000	8.000	-8.104	-2.711	8.546
1.000	27.000	2.000	9.000	8.584	-0.315	8.590
1.000	27.000	2.000	10.000	0.169	-10.244	10.245
1.000	27.000	2.000	1.000	36.558	-10.142	37.939
1.000	27.000	2.000	2.000	23.591	-6.792	24.550
1.000	27.000	2.000	3.000	-28.211	-6.757	29.009
1.000	27.000	2.000	4.000	26.331	-3.580	26.574
1.000	27.000	2.000	5.000	1.553	-3.028	3.403
1.000	27.000	2.000	6.000	33.581	8.304	34.593
1.000	27.000	2.000	7.000	-8.694	-4.465	9.774
1.000	27.000	2.000	8.000	8.659	-9.290	12.700
1.000	27.000	2.000	9.000	2.318	-9.176	9.465
1.000	27.000	2.000	10.000	4.265	-10.742	11.558
1.000	27.000	2.000	1.000	6.816	-5.188	8.566
1.000	27.000	2.000	2.000	0.071	-10.146	10.146
1.000	27.000	2.000	3.000	19.303	-5.220	19.996
1.000	27.000	2.000	4.000	29.537	-8.856	30.836
1.000	27.000	2.000	5.000	-13.192	-8.551	15.721
1.000	27.000	2.000	6.000	-5.382	-6.327	8.307
1.000	27.000	2.000	7.000	15.990	-3.748	16.423
1.000	27.000	2.000	8.000	11.194	-9.589	14.740
1.000	27.000	2.000	9.000	26.297	-16.945	31.284
1.000	27.000	2.000	10.000	-8.714	-12.172	14.970
1.000	27.000	2.000	1.000	-20.784	-1.800	20.862
1.000	27.000	2.000	2.000	19.200	-7.269	20.530
1.000	27.000	2.000	3.000	18.031	-6.778	19.263
1.000	27.000	2.000	4.000	-22.155	-3.650	22.454
1.000	27.000	2.000	5.000	11.858	-17.201	20.892
1.000	27.000	2.000	6.000	20.559	-9.906	22.821
1.000	27.000	2.000	7.000	-6.649	-5.836	8.847
1.000	27.000	2.000	8.000	-7.156	-13.152	14.972
1.000	27.000	2.000	9.000	-45.965	-5.930	46.346
1.000	27.000	2.000	10.000	32.472	-5.742	32.976
