Grp	sID	Phase	Trial	S/L	L/R	
2.000	68.000	2.000	1.000	12.512	-18.768
2.000	68.000	2.000	2.000	69.597	-16.715
2.000	68.000	2.000	3.000	-9.970	-23.850
2.000	68.000	2.000	4.000	132.000	-28.347
2.000	68.000	2.000	5.000	97.455	-33.234
2.000	68.000	2.000	6.000	51.220	-25.512
2.000	68.000	2.000	7.000	132.000	15.933
2.000	68.000	2.000	8.000	43.400	-23.850
2.000	68.000	2.000	9.000	109.184	-3.910
2.000	68.000	2.000	10.000	49.949	-32.648
2.000	68.000	2.000	1.000	11.534	-23.166
2.000	68.000	2.000	2.000	-30.986	-0.880
2.000	68.000	2.000	3.000	132.000	36.264
2.000	68.000	2.000	4.000	132.000	-34.798
2.000	68.000	2.000	5.000	94.131	-4.887
2.000	68.000	2.000	6.000	74.875	-28.347
2.000	68.000	2.000	7.000	-17.399	-18.474
2.000	68.000	2.000	8.000	78.785	-3.323
2.000	68.000	2.000	9.000	61.581	-35.385
2.000	68.000	2.000	10.000	47.212	-10.948
2.000	68.000	2.000	1.000	-1.662	-21.407
2.000	68.000	2.000	2.000	30.791	-24.730
2.000	68.000	2.000	3.000	-12.903	7.820
2.000	68.000	2.000	4.000	24.339	19.647
2.000	68.000	2.000	5.000	106.447	15.346
2.000	68.000	2.000	6.000	16.226	-1.564
2.000	68.000	2.000	7.000	12.609	-5.767
2.000	68.000	2.000	8.000	-6.549	-8.700
2.000	68.000	2.000	9.000	-50.633	2.639
2.000	68.000	2.000	10.000	99.116	-12.121
2.000	68.000	2.000	1.000	14.955	-29.911
2.000	68.000	2.000	2.000	60.017	-5.669
2.000	68.000	2.000	3.000	2.541	-1.955
2.000	68.000	2.000	4.000	24.730	-21.896
2.000	68.000	2.000	5.000	64.709	-2.541
2.000	68.000	2.000	6.000	-16.031	-17.497
2.000	68.000	2.000	7.000	85.529	14.173
2.000	68.000	2.000	8.000	35.776	-21.016
2.000	68.000	2.000	9.000	41.152	-3.030
2.000	68.000	2.000	10.000	38.904	-9.775
2.000	68.000	2.000	1.000	-30.009	-8.700
2.000	68.000	2.000	2.000	81.620	-14.173
2.000	68.000	2.000	3.000	42.423	18.865
2.000	68.000	2.000	4.000	32.159	11.827
2.000	68.000	2.000	5.000	-81.815	6.549
2.000	68.000	2.000	6.000	132.000	24.437
2.000	68.000	2.000	7.000	113.485	-15.737
2.000	68.000	2.000	8.000	-22.580	9.384
2.000	68.000	2.000	9.000	6.256	-4.105
2.000	68.000	2.000	10.000	34.505	-7.624
2.000	68.000	2.000	1.000	50.731	-19.550
2.000	68.000	2.000	2.000	-28.738	-4.887
2.000	68.000	2.000	3.000	9.873	-0.782
2.000	68.000	2.000	4.000	2.541	6.256
2.000	68.000	2.000	5.000	34.603	7.429
2.000	68.000	2.000	6.000	-27.467	11.632
2.000	68.000	2.000	7.000	-10.557	-4.399
2.000	68.000	2.000	8.000	-18.377	-2.053
2.000	68.000	2.000	9.000	69.890	26.490
2.000	68.000	2.000	10.000	76.439	24.144
2.000	68.000	2.000	1.000	71.356	1.368
2.000	68.000	2.000	2.000	-17.399	16.617
2.000	68.000	2.000	3.000	45.844	-12.609
2.000	68.000	2.000	4.000	-39.295	-2.541
2.000	68.000	2.000	5.000	-26.294	6.256
2.000	68.000	2.000	6.000	87.289	23.753
2.000	68.000	2.000	7.000	69.499	-4.203
2.000	68.000	2.000	8.000	63.732	13.978
2.000	68.000	2.000	9.000	40.663	-14.955
2.000	68.000	2.000	10.000	-62.852	3.226
2.000	68.000	2.000	1.000	-24.632	-27.565
2.000	68.000	2.000	2.000	-12.609	-2.444
2.000	68.000	2.000	3.000	25.805	-18.865
2.000	68.000	2.000	4.000	22.873	0.489
2.000	68.000	2.000	5.000	32.746	9.188
2.000	68.000	2.000	6.000	16.226	8.504
2.000	68.000	2.000	7.000	29.715	8.797
2.000	68.000	2.000	8.000	-4.301	-0.782
2.000	68.000	2.000	9.000	-31.475	5.865
2.000	68.000	2.000	10.000	10.264	8.602
2.000	68.000	2.000	1.000	-10.655	1.759
2.000	68.000	2.000	2.000	16.422	-5.865
2.000	68.000	2.000	3.000	-19.061	10.264
2.000	68.000	2.000	4.000	15.835	9.188
2.000	68.000	2.000	5.000	-3.714	-8.309
2.000	68.000	2.000	6.000	-57.183	-2.150
2.000	68.000	2.000	7.000	13.098	8.406
2.000	68.000	2.000	8.000	-26.196	-18.768
2.000	68.000	2.000	9.000	66.273	17.301
2.000	68.000	2.000	10.000	25.317	7.722
2.000	68.000	2.000	1.000	30.888	2.932
2.000	68.000	2.000	2.000	-0.098	11.827
2.000	68.000	2.000	3.000	1.271	2.248
2.000	68.000	2.000	4.000	3.519	-9.091
2.000	68.000	2.000	5.000	-2.248	-10.752
2.000	68.000	2.000	6.000	-0.391	-7.233
2.000	68.000	2.000	7.000	0.586	11.437
2.000	68.000	2.000	8.000	106.252	15.053
2.000	68.000	2.000	9.000	16.226	8.602
2.000	68.000	2.000	10.000	11.632	-12.316
