Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	14.000	2.000	1.000	-0.880	-6.451	6.511
1.000	14.000	2.000	2.000	14.075	-1.857	14.197
1.000	14.000	2.000	3.000	13.782	-11.241	17.785
1.000	14.000	2.000	4.000	10.948	-6.940	12.962
1.000	14.000	2.000	5.000	40.076	-4.594	40.338
1.000	14.000	2.000	6.000	39.196	-0.684	39.202
1.000	14.000	2.000	7.000	-17.692	-1.466	17.753
1.000	14.000	2.000	8.000	40.565	-5.376	40.919
1.000	14.000	2.000	9.000	24.632	-5.572	25.254
1.000	14.000	2.000	10.000	8.602	-4.790	9.845
1.000	14.000	2.000	1.000	-7.135	0.391	7.146
1.000	14.000	2.000	2.000	-13.684	-1.662	13.785
1.000	14.000	2.000	3.000	15.737	-8.993	18.125
1.000	14.000	2.000	4.000	-21.700	-3.714	22.015
1.000	14.000	2.000	5.000	6.256	-4.301	7.592
1.000	14.000	2.000	6.000	6.060	-4.790	7.724
1.000	14.000	2.000	7.000	14.173	-4.008	14.729
1.000	14.000	2.000	8.000	39.098	-10.068	40.374
1.000	14.000	2.000	9.000	2.248	-5.083	5.558
1.000	14.000	2.000	10.000	-31.279	-1.271	31.305
1.000	14.000	2.000	1.000	-18.572	-7.135	19.895
1.000	14.000	2.000	2.000	4.594	-2.835	5.398
1.000	14.000	2.000	3.000	-10.557	-10.654	14.999
1.000	14.000	2.000	4.000	-7.038	-12.609	14.440
1.000	14.000	2.000	5.000	-26.587	-2.737	26.727
1.000	14.000	2.000	6.000	1.466	-2.541	2.934
1.000	14.000	2.000	7.000	39.392	-4.692	39.670
1.000	14.000	2.000	8.000	-2.737	-1.368	3.060
1.000	14.000	2.000	9.000	4.790	-6.549	8.114
1.000	14.000	2.000	10.000	-19.354	-4.594	19.892
1.000	14.000	2.000	1.000	-29.128	-1.662	29.176
1.000	14.000	2.000	2.000	-31.963	-5.474	32.428
1.000	14.000	2.000	3.000	8.895	-3.128	9.429
1.000	14.000	2.000	4.000	-2.444	-11.436	11.694
1.000	14.000	2.000	5.000	11.632	-4.399	12.436
1.000	14.000	2.000	6.000	20.624	-11.730	23.727
1.000	14.000	2.000	7.000	-17.301	-18.865	25.597
1.000	14.000	2.000	8.000	12.414	-7.331	14.417
1.000	14.000	2.000	9.000	15.053	-8.993	17.534
1.000	14.000	2.000	10.000	30.790	-14.955	34.230
1.000	14.000	2.000	1.000	-25.218	-7.917	26.432
1.000	14.000	2.000	2.000	-11.241	-10.459	15.354
1.000	14.000	2.000	3.000	-13.978	-7.331	15.783
1.000	14.000	2.000	4.000	26.000	-10.752	28.136
1.000	14.000	2.000	5.000	17.203	-9.384	19.596
1.000	14.000	2.000	6.000	5.865	-5.278	7.890
1.000	14.000	2.000	7.000	12.511	-8.504	15.128
1.000	14.000	2.000	8.000	8.602	-7.526	11.430
1.000	14.000	2.000	9.000	2.053	-5.181	5.572
1.000	14.000	2.000	10.000	-24.241	-4.692	24.691
1.000	14.000	2.000	1.000	-2.737	-3.323	4.305
1.000	14.000	2.000	2.000	5.278	-7.038	8.797
1.000	14.000	2.000	3.000	-13.293	-2.053	13.451
1.000	14.000	2.000	4.000	-11.045	-2.444	11.312
1.000	14.000	2.000	5.000	-2.444	-3.323	4.125
1.000	14.000	2.000	6.000	1.173	-13.000	13.053
1.000	14.000	2.000	7.000	37.144	-1.955	37.195
1.000	14.000	2.000	8.000	6.647	-7.429	9.968
1.000	14.000	2.000	9.000	5.278	-5.767	7.818
1.000	14.000	2.000	10.000	-6.744	-2.053	7.050
1.000	14.000	2.000	1.000	29.813	-0.880	29.826
1.000	14.000	2.000	2.000	10.166	-6.744	12.199
1.000	14.000	2.000	3.000	-26.782	-3.128	26.964
1.000	14.000	2.000	4.000	1.662	-4.399	4.702
1.000	14.000	2.000	5.000	-17.008	-5.181	17.779
1.000	14.000	2.000	6.000	-10.263	-6.647	12.228
1.000	14.000	2.000	7.000	8.602	-4.985	9.942
1.000	14.000	2.000	8.000	-13.587	-5.963	14.837
1.000	14.000	2.000	9.000	-3.617	-5.669	6.725
1.000	14.000	2.000	10.000	34.798	-5.181	35.181
1.000	14.000	2.000	1.000	-8.895	-8.504	12.306
1.000	14.000	2.000	2.000	8.993	-8.699	12.512
1.000	14.000	2.000	3.000	3.812	-4.203	5.674
