Grp	sID	Phase	Trial	S/L	L/R	
2.000	69.000	2.000	1.000	-33.912	-2.971
2.000	69.000	2.000	2.000	58.489	-23.369
2.000	69.000	2.000	3.000	-43.204	-1.333
2.000	69.000	2.000	4.000	28.062	6.542
2.000	69.000	2.000	5.000	-10.945	-9.514
2.000	69.000	2.000	6.000	23.793	-13.699
2.000	69.000	2.000	7.000	-14.945	-7.525
2.000	69.000	2.000	8.000	-75.480	4.596
2.000	69.000	2.000	9.000	-54.943	0.521
2.000	69.000	2.000	10.000	-44.576	-1.518
2.000	69.000	2.000	1.000	-34.767	0.463
2.000	69.000	2.000	2.000	-39.394	-2.635
2.000	69.000	2.000	3.000	120.371	-0.338
2.000	69.000	2.000	4.000	116.755	0.669
2.000	69.000	2.000	5.000	21.409	-5.356
2.000	69.000	2.000	6.000	-46.140	-1.016
2.000	69.000	2.000	7.000	-25.207	-4.605
2.000	69.000	2.000	8.000	-4.685	-10.640
2.000	69.000	2.000	9.000	-9.266	-7.764
2.000	69.000	2.000	10.000	-46.799	15.150
2.000	69.000	2.000	1.000	-87.657	0.478
2.000	69.000	2.000	2.000	-25.032	-7.251
2.000	69.000	2.000	3.000	-7.516	-9.443
2.000	69.000	2.000	4.000	-2.373	-2.920
2.000	69.000	2.000	5.000	16.778	3.789
2.000	69.000	2.000	6.000	-50.640	-0.394
2.000	69.000	2.000	7.000	-3.484	-7.221
2.000	69.000	2.000	8.000	-66.694	0.807
2.000	69.000	2.000	9.000	9.971	-2.525
2.000	69.000	2.000	10.000	-3.050	10.993
2.000	69.000	2.000	1.000	-16.592	-5.063
2.000	69.000	2.000	2.000	-52.992	-0.474
2.000	69.000	2.000	3.000	40.009	-6.478
2.000	69.000	2.000	4.000	-20.086	-13.656
2.000	69.000	2.000	5.000	28.257	-6.388
2.000	69.000	2.000	6.000	-26.465	-2.539
2.000	69.000	2.000	7.000	13.476	-5.197
2.000	69.000	2.000	8.000	-8.536	-1.991
2.000	69.000	2.000	9.000	-77.171	1.181
2.000	69.000	2.000	10.000	-12.209	-8.329
2.000	69.000	2.000	1.000	24.763	10.583
2.000	69.000	2.000	2.000	15.448	-3.547
2.000	69.000	2.000	3.000	-2.198	-5.566
2.000	69.000	2.000	4.000	31.961	-8.669
2.000	69.000	2.000	5.000	-60.711	1.936
2.000	69.000	2.000	6.000	-11.959	-1.279
2.000	69.000	2.000	7.000	0.296	0.292
2.000	69.000	2.000	8.000	43.938	-5.137
2.000	69.000	2.000	9.000	-24.028	8.608
2.000	69.000	2.000	10.000	22.307	-3.208
