Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	10.000	2.000	1.000	5.778	-12.732	13.982
2.000	10.000	2.000	2.000	26.149	-14.397	29.851
2.000	10.000	2.000	3.000	-43.778	-2.742	43.864
2.000	10.000	2.000	4.000	-10.186	-6.464	12.063
2.000	10.000	2.000	5.000	-2.742	-10.577	10.927
2.000	10.000	2.000	6.000	21.155	-10.381	23.565
2.000	10.000	2.000	7.000	-43.190	-2.155	43.244
2.000	10.000	2.000	8.000	21.644	-12.340	24.915
2.000	10.000	2.000	9.000	-4.407	-8.031	9.161
2.000	10.000	2.000	10.000	-22.330	-0.784	22.343
2.000	10.000	2.000	1.000	86.381	-13.907	87.493
2.000	10.000	2.000	2.000	-6.464	-7.443	9.858
2.000	10.000	2.000	3.000	-0.098	-14.005	14.005
2.000	10.000	2.000	4.000	11.850	-17.335	20.998
2.000	10.000	2.000	5.000	-0.686	8.619	8.646
2.000	10.000	2.000	6.000	-29.577	1.371	29.609
2.000	10.000	2.000	7.000	-25.953	-7.737	27.082
2.000	10.000	2.000	8.000	-19.979	-2.155	20.095
2.000	10.000	2.000	9.000	4.799	-5.191	7.069
2.000	10.000	2.000	10.000	-8.619	-12.928	15.537
2.000	10.000	2.000	1.000	14.495	-5.778	15.604
2.000	10.000	2.000	2.000	-28.794	5.680	29.349
2.000	10.000	2.000	3.000	-4.015	4.603	6.108
2.000	10.000	2.000	4.000	25.366	7.541	26.463
2.000	10.000	2.000	5.000	21.938	7.149	23.074
2.000	10.000	2.000	6.000	22.722	-7.639	23.971
2.000	10.000	2.000	7.000	-14.593	3.232	14.946
2.000	10.000	2.000	8.000	-38.196	0.881	38.206
2.000	10.000	2.000	9.000	39.665	-0.686	39.671
2.000	10.000	2.000	10.000	1.861	-3.820	4.249
2.000	10.000	2.000	1.000	16.062	0.196	16.063
2.000	10.000	2.000	2.000	20.371	-1.763	20.447
2.000	10.000	2.000	3.000	-47.598	2.546	47.666
2.000	10.000	2.000	4.000	7.639	-0.784	7.679
2.000	10.000	2.000	5.000	4.015	0.196	4.020
2.000	10.000	2.000	6.000	77.567	12.634	78.589
2.000	10.000	2.000	7.000	-6.660	-1.077	6.746
2.000	10.000	2.000	8.000	-0.098	-5.485	5.485
2.000	10.000	2.000	9.000	11.165	-5.582	12.483
2.000	10.000	2.000	10.000	-31.830	1.077	31.848
2.000	10.000	2.000	1.000	37.314	-2.351	37.388
2.000	10.000	2.000	2.000	0.098	-13.026	13.026
2.000	10.000	2.000	3.000	19.294	-10.871	22.146
2.000	10.000	2.000	4.000	-22.722	-2.351	22.843
2.000	10.000	2.000	5.000	-6.856	-3.820	7.848
2.000	10.000	2.000	6.000	-3.428	-1.567	3.769
2.000	10.000	2.000	7.000	-7.247	9.304	11.794
2.000	10.000	2.000	8.000	-15.180	1.763	15.282
2.000	10.000	2.000	9.000	-25.268	0.686	25.277
2.000	10.000	2.000	10.000	3.820	-4.309	5.758
2.000	10.000	2.000	1.000	26.051	8.325	27.349
2.000	10.000	2.000	2.000	4.015	-11.067	11.773
2.000	10.000	2.000	3.000	-13.809	-1.175	13.859
2.000	10.000	2.000	4.000	17.727	6.464	18.868
2.000	10.000	2.000	5.000	38.489	7.737	39.259
2.000	10.000	2.000	6.000	-11.753	-1.175	11.811
2.000	10.000	2.000	7.000	20.371	-0.881	20.390
2.000	10.000	2.000	8.000	19.000	-2.057	19.111
2.000	10.000	2.000	9.000	-3.526	-0.196	3.531
2.000	10.000	2.000	10.000	20.175	-1.469	20.229
2.000	10.000	2.000	1.000	7.149	-4.995	8.721
2.000	10.000	2.000	2.000	-33.103	-3.918	33.334
2.000	10.000	2.000	3.000	2.742	-12.046	12.354
2.000	10.000	2.000	4.000	43.484	11.067	44.870
2.000	10.000	2.000	5.000	52.886	-5.582	53.180
2.000	10.000	2.000	6.000	-4.407	-1.273	4.587
2.000	10.000	2.000	7.000	4.015	-4.407	5.962
2.000	10.000	2.000	8.000	12.144	-7.052	14.043
2.000	10.000	2.000	9.000	23.407	8.325	24.843
2.000	10.000	2.000	10.000	20.371	-9.010	22.275
2.000	10.000	2.000	1.000	21.252	-1.763	21.325
2.000	10.000	2.000	2.000	-12.340	-0.196	12.342
