Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	39.000	2.000	1.000	7.722	-16.910	18.590
1.000	39.000	2.000	2.000	8.993	-10.948	14.168
1.000	39.000	2.000	3.000	-28.836	4.985	29.263
1.000	39.000	2.000	4.000	-6.647	6.549	9.331
1.000	39.000	2.000	5.000	-4.105	0.098	4.107
1.000	39.000	2.000	6.000	11.143	4.399	11.980
1.000	39.000	2.000	7.000	9.188	-9.873	13.487
1.000	39.000	2.000	8.000	-11.241	5.278	12.419
1.000	39.000	2.000	9.000	7.722	4.692	9.036
1.000	39.000	2.000	10.000	-8.700	6.549	10.889
1.000	39.000	2.000	1.000	26.196	7.331	27.203
1.000	39.000	2.000	2.000	-13.196	-1.759	13.313
1.000	39.000	2.000	3.000	-3.030	6.158	6.863
1.000	39.000	2.000	4.000	25.805	-9.091	27.360
1.000	39.000	2.000	5.000	-13.294	-2.053	13.451
1.000	39.000	2.000	6.000	-47.310	6.354	47.735
1.000	39.000	2.000	7.000	-34.505	-5.572	34.952
1.000	39.000	2.000	8.000	-5.865	-3.519	6.840
1.000	39.000	2.000	9.000	-39.197	-1.662	39.232
1.000	39.000	2.000	10.000	14.662	-6.354	15.980
1.000	39.000	2.000	1.000	7.136	1.857	7.373
1.000	39.000	2.000	2.000	10.264	-11.339	15.294
1.000	39.000	2.000	3.000	-26.099	1.955	26.172
1.000	39.000	2.000	4.000	-25.512	-1.075	25.535
1.000	39.000	2.000	5.000	-47.896	-4.692	48.126
1.000	39.000	2.000	6.000	8.895	-8.602	12.374
1.000	39.000	2.000	7.000	14.760	-3.617	15.197
1.000	39.000	2.000	8.000	2.053	-10.655	10.850
1.000	39.000	2.000	9.000	-4.399	4.594	6.360
1.000	39.000	2.000	10.000	-1.857	-5.767	6.059
1.000	39.000	2.000	1.000	3.812	5.669	6.832
1.000	39.000	2.000	2.000	33.528	-1.564	33.564
1.000	39.000	2.000	3.000	-23.460	3.421	23.708
1.000	39.000	2.000	4.000	6.940	4.790	8.432
1.000	39.000	2.000	5.000	7.038	-5.865	9.161
1.000	39.000	2.000	6.000	-21.505	6.158	22.369
1.000	39.000	2.000	7.000	4.008	5.474	6.784
1.000	39.000	2.000	8.000	16.617	-2.053	16.743
1.000	39.000	2.000	9.000	-15.737	5.572	16.695
1.000	39.000	2.000	10.000	-11.925	7.331	13.998
1.000	39.000	2.000	1.000	36.753	13.098	39.017
1.000	39.000	2.000	2.000	19.745	-0.489	19.751
1.000	39.000	2.000	3.000	19.354	10.752	22.140
1.000	39.000	2.000	4.000	-19.745	-4.301	20.208
1.000	39.000	2.000	5.000	-43.693	0.000	43.693
1.000	39.000	2.000	6.000	-11.241	8.211	13.920
1.000	39.000	2.000	7.000	-13.294	-1.662	13.397
1.000	39.000	2.000	8.000	4.399	-1.173	4.552
1.000	39.000	2.000	9.000	-30.400	-1.368	30.430
1.000	39.000	2.000	10.000	5.181	-2.248	5.647
1.000	39.000	2.000	1.000	-39.001	-8.797	39.981
1.000	39.000	2.000	2.000	-21.505	-7.820	22.882
1.000	39.000	2.000	3.000	-25.219	7.233	26.236
1.000	39.000	2.000	4.000	11.730	-0.293	11.733
1.000	39.000	2.000	5.000	26.196	13.000	29.245
1.000	39.000	2.000	6.000	-14.955	11.534	18.887
1.000	39.000	2.000	7.000	24.241	9.286	25.959
1.000	39.000	2.000	8.000	7.624	6.647	10.115
1.000	39.000	2.000	9.000	49.460	9.482	50.361
1.000	39.000	2.000	10.000	-18.474	6.256	19.505
1.000	39.000	2.000	1.000	0.586	10.361	10.378
1.000	39.000	2.000	2.000	7.429	-0.098	7.429
1.000	39.000	2.000	3.000	16.910	-4.105	17.402
1.000	39.000	2.000	4.000	17.692	-2.541	17.874
1.000	39.000	2.000	5.000	17.106	6.256	18.214
1.000	39.000	2.000	6.000	14.173	-14.271	20.114
1.000	39.000	2.000	7.000	-22.189	-3.812	22.514
1.000	39.000	2.000	8.000	-19.452	-2.737	19.643
1.000	39.000	2.000	9.000	-16.324	-0.684	16.338
1.000	39.000	2.000	10.000	-25.023	2.835	25.184
1.000	39.000	2.000	1.000	6.354	-0.391	6.366
1.000	39.000	2.000	2.000	-32.843	-1.368	32.872
1.000	39.000	2.000	3.000	-33.821	-1.759	33.867
1.000	39.000	2.000	4.000	14.564	-15.053	20.946
1.000	39.000	2.000	5.000	9.286	-10.655	14.133
1.000	39.000	2.000	6.000	-7.527	-2.248	7.855
1.000	39.000	2.000	7.000	-21.602	-10.264	23.917
1.000	39.000	2.000	8.000	-6.940	-2.248	7.295
1.000	39.000	2.000	9.000	4.399	-8.993	10.011
1.000	39.000	2.000	10.000	-29.227	-0.684	29.235
1.000	39.000	2.000	1.000	6.158	-3.519	7.093
1.000	39.000	2.000	2.000	-20.038	-5.669	20.825
1.000	39.000	2.000	3.000	-42.032	0.000	42.032
1.000	39.000	2.000	4.000	-25.219	-7.527	26.318
1.000	39.000	2.000	5.000	4.203	-9.188	10.104
1.000	39.000	2.000	6.000	-27.565	-6.060	28.223
1.000	39.000	2.000	7.000	-2.248	-0.684	2.350
1.000	39.000	2.000	8.000	-15.640	-5.083	16.445
1.000	39.000	2.000	9.000	-9.579	-1.857	9.758
1.000	39.000	2.000	10.000	2.346	-16.128	16.298
1.000	39.000	2.000	1.000	-17.595	5.767	18.516
1.000	39.000	2.000	2.000	-14.760	-9.873	17.757
1.000	39.000	2.000	3.000	-7.233	0.391	7.244
1.000	39.000	2.000	4.000	-11.339	-14.271	18.227
1.000	39.000	2.000	5.000	-2.150	-7.624	7.922
1.000	39.000	2.000	6.000	16.031	4.203	16.573
1.000	39.000	2.000	7.000	5.767	-3.812	6.913
1.000	39.000	2.000	8.000	-17.301	0.293	17.304
1.000	39.000	2.000	9.000	-1.271	-8.895	8.985
1.000	39.000	2.000	10.000	4.985	6.158	7.923
