Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	44.000	2.000	1.000	9.082	-6.152	10.969
1.000	44.000	2.000	2.000	27.538	-11.621	29.890
1.000	44.000	2.000	3.000	-2.246	-5.371	5.822
1.000	44.000	2.000	4.000	-44.725	-9.961	45.821
1.000	44.000	2.000	5.000	14.648	-8.789	17.082
1.000	44.000	2.000	6.000	10.547	-12.207	16.132
1.000	44.000	2.000	7.000	33.690	-14.550	36.698
1.000	44.000	2.000	8.000	27.538	-11.621	29.890
1.000	44.000	2.000	9.000	-0.977	-7.324	7.389
1.000	44.000	2.000	10.000	31.542	8.691	32.717
1.000	44.000	2.000	1.000	24.999	-3.320	25.219
1.000	44.000	2.000	2.000	58.592	-6.543	58.956
1.000	44.000	2.000	3.000	-35.448	-15.234	38.583
1.000	44.000	2.000	4.000	-23.437	-8.398	24.896
1.000	44.000	2.000	5.000	34.374	-19.238	39.391
1.000	44.000	2.000	6.000	11.425	-12.988	17.298
1.000	44.000	2.000	7.000	44.725	-1.269	44.743
1.000	44.000	2.000	8.000	27.636	-3.808	27.897
1.000	44.000	2.000	9.000	52.733	-5.078	52.977
1.000	44.000	2.000	10.000	71.775	-3.808	71.876
1.000	44.000	2.000	1.000	-18.749	-7.715	20.275
1.000	44.000	2.000	2.000	-11.425	-12.402	16.863
1.000	44.000	2.000	3.000	12.402	-16.601	20.722
1.000	44.000	2.000	4.000	-13.769	-14.355	19.891
1.000	44.000	2.000	5.000	6.250	-11.132	12.767
1.000	44.000	2.000	6.000	15.332	-4.980	16.120
1.000	44.000	2.000	7.000	-78.806	-1.074	78.814
1.000	44.000	2.000	8.000	-17.089	-11.621	20.666
1.000	44.000	2.000	9.000	-8.691	-2.051	8.930
1.000	44.000	2.000	10.000	8.691	-12.988	15.628
1.000	44.000	2.000	1.000	-31.835	-4.785	32.193
1.000	44.000	2.000	2.000	-21.288	-17.773	27.732
1.000	44.000	2.000	3.000	31.933	-5.469	32.397
1.000	44.000	2.000	4.000	-53.709	-1.172	53.722
1.000	44.000	2.000	5.000	-7.519	-17.382	18.939
1.000	44.000	2.000	6.000	-21.191	-17.578	27.532
1.000	44.000	2.000	7.000	54.198	-22.753	58.780
1.000	44.000	2.000	8.000	20.019	-15.722	25.455
1.000	44.000	2.000	9.000	5.371	-16.406	17.263
1.000	44.000	2.000	10.000	54.881	-16.796	57.394
1.000	44.000	2.000	1.000	49.803	-24.511	55.508
1.000	44.000	2.000	2.000	25.585	-8.105	26.838
1.000	44.000	2.000	3.000	19.042	-13.183	23.161
1.000	44.000	2.000	4.000	-32.030	-6.347	32.653
1.000	44.000	2.000	5.000	31.249	-15.527	34.894
1.000	44.000	2.000	6.000	7.324	-20.995	22.236
1.000	44.000	2.000	7.000	-29.687	-6.445	30.378
1.000	44.000	2.000	8.000	-48.436	-1.660	48.464
1.000	44.000	2.000	9.000	15.625	-9.863	18.477
1.000	44.000	2.000	10.000	-0.391	-7.226	7.237
1.000	44.000	2.000	1.000	14.746	-25.097	29.108
1.000	44.000	2.000	2.000	27.929	-6.836	28.753
1.000	44.000	2.000	3.000	-1.172	-5.859	5.975
1.000	44.000	2.000	4.000	12.011	-4.883	12.966
1.000	44.000	2.000	5.000	28.026	-15.820	32.183
1.000	44.000	2.000	6.000	27.929	-15.917	32.146
1.000	44.000	2.000	7.000	14.160	-16.699	21.894
1.000	44.000	2.000	8.000	-25.488	-4.004	25.800
1.000	44.000	2.000	9.000	15.917	-19.531	25.195
1.000	44.000	2.000	10.000	-4.785	-4.004	6.239
1.000	44.000	2.000	1.000	26.269	-16.894	31.232
1.000	44.000	2.000	2.000	28.808	-14.453	32.230
1.000	44.000	2.000	3.000	-13.769	-11.132	17.707
1.000	44.000	2.000	4.000	-8.301	-14.941	17.092
1.000	44.000	2.000	5.000	12.988	-16.796	21.232
1.000	44.000	2.000	6.000	-10.156	-17.871	20.555
1.000	44.000	2.000	7.000	30.468	-6.933	31.247
1.000	44.000	2.000	8.000	49.608	-15.039	51.837
1.000	44.000	2.000	9.000	-13.086	-1.367	13.157
1.000	44.000	2.000	10.000	9.179	-4.883	10.397
