Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	1.000	2.000	1.000	29.170	-11.001	31.175
2.000	1.000	2.000	2.000	-12.041	-5.401	13.197
2.000	1.000	2.000	3.000	-26.722	1.628	26.771
2.000	1.000	2.000	4.000	-12.446	-10.923	16.559
2.000	1.000	2.000	5.000	36.751	-17.622	40.757
2.000	1.000	2.000	6.000	10.139	-9.683	14.020
2.000	1.000	2.000	7.000	16.952	-5.357	17.778
2.000	1.000	2.000	8.000	1.670	-3.455	3.837
2.000	1.000	2.000	9.000	32.547	2.010	32.609
2.000	1.000	2.000	10.000	-54.929	0.004	54.929
2.000	1.000	2.000	1.000	-4.450	-6.599	7.959
2.000	1.000	2.000	2.000	-7.020	-9.947	12.175
2.000	1.000	2.000	3.000	8.261	-12.047	14.607
2.000	1.000	2.000	4.000	-56.887	7.404	57.367
2.000	1.000	2.000	5.000	74.366	5.187	74.546
2.000	1.000	2.000	6.000	7.486	-4.649	8.812
2.000	1.000	2.000	7.000	-3.958	-6.994	8.036
2.000	1.000	2.000	8.000	0.810	11.241	11.270
2.000	1.000	2.000	9.000	29.993	7.340	30.878
2.000	1.000	2.000	10.000	35.217	5.950	35.716
2.000	1.000	2.000	1.000	-31.164	-0.731	31.172
2.000	1.000	2.000	2.000	10.730	-10.177	14.789
2.000	1.000	2.000	3.000	32.660	9.899	34.127
2.000	1.000	2.000	4.000	28.879	-8.042	29.978
2.000	1.000	2.000	5.000	-11.246	-1.951	11.414
2.000	1.000	2.000	6.000	-1.196	-6.802	6.907
2.000	1.000	2.000	7.000	9.777	7.772	12.490
2.000	1.000	2.000	8.000	14.512	8.059	16.599
2.000	1.000	2.000	9.000	15.376	-4.171	15.932
2.000	1.000	2.000	10.000	27.906	-1.137	27.929
2.000	1.000	2.000	1.000	-63.918	-7.869	64.400
2.000	1.000	2.000	2.000	-0.410	-8.283	8.293
2.000	1.000	2.000	3.000	32.341	-2.723	32.455
2.000	1.000	2.000	4.000	8.952	-11.555	14.617
2.000	1.000	2.000	5.000	-4.830	0.995	4.932
2.000	1.000	2.000	6.000	-5.029	0.404	5.045
2.000	1.000	2.000	7.000	-25.340	2.414	25.454
2.000	1.000	2.000	8.000	-20.622	-6.174	21.527
2.000	1.000	2.000	9.000	7.985	-1.593	8.142
2.000	1.000	2.000	10.000	11.444	2.543	11.723
2.000	1.000	2.000	1.000	12.600	-12.252	17.575
2.000	1.000	2.000	2.000	19.070	19.983	27.623
2.000	1.000	2.000	3.000	-42.105	2.051	42.155
2.000	1.000	2.000	4.000	47.612	-10.443	48.744
2.000	1.000	2.000	5.000	-1.188	-2.365	2.646
2.000	1.000	2.000	6.000	44.942	-14.087	47.099
2.000	1.000	2.000	7.000	13.002	-8.308	15.429
2.000	1.000	2.000	8.000	4.027	-8.883	9.753
2.000	1.000	2.000	9.000	25.922	-7.247	26.916
2.000	1.000	2.000	10.000	7.188	-6.128	9.445
2.000	1.000	2.000	1.000	23.757	-5.074	24.293
2.000	1.000	2.000	2.000	59.758	-1.492	59.777
2.000	1.000	2.000	3.000	3.837	-5.037	6.331
2.000	1.000	2.000	4.000	2.865	2.756	3.975
2.000	1.000	2.000	5.000	48.831	8.883	49.633
2.000	1.000	2.000	6.000	79.890	6.162	80.127
2.000	1.000	2.000	7.000	-2.992	-17.942	18.190
2.000	1.000	2.000	8.000	20.922	8.541	22.598
2.000	1.000	2.000	9.000	1.868	-3.061	3.586
2.000	1.000	2.000	10.000	-35.108	-0.329	35.109
2.000	1.000	2.000	1.000	-1.097	-6.704	6.793
2.000	1.000	2.000	2.000	-6.513	-2.453	6.960
2.000	1.000	2.000	3.000	-6.815	-5.806	8.953
2.000	1.000	2.000	4.000	-42.908	-5.245	43.227
2.000	1.000	2.000	5.000	-4.143	-0.387	4.161
2.000	1.000	2.000	6.000	14.686	-3.972	15.214
2.000	1.000	2.000	7.000	36.517	15.809	39.792
2.000	1.000	2.000	8.000	12.823	1.554	12.917
2.000	1.000	2.000	9.000	51.256	-12.817	52.834
2.000	1.000	2.000	10.000	98.780	-17.738	100.360
2.000	1.000	2.000	1.000	-34.216	2.135	34.282
2.000	1.000	2.000	2.000	-7.001	0.408	7.013
2.000	1.000	2.000	3.000	-30.087	-5.170	30.528
2.000	1.000	2.000	4.000	-20.317	-1.343	20.362
2.000	1.000	2.000	5.000	-20.424	-5.682	21.200
2.000	1.000	2.000	6.000	17.127	-16.994	24.128
2.000	1.000	2.000	7.000	28.292	-5.871	28.894
2.000	1.000	2.000	8.000	-27.121	-1.034	27.141
2.000	1.000	2.000	9.000	18.533	-3.683	18.895
2.000	1.000	2.000	10.000	-7.594	-0.380	7.604
2.000	1.000	2.000	1.000	39.149	-0.862	39.158
2.000	1.000	2.000	2.000	13.585	-12.944	18.764
2.000	1.000	2.000	3.000	27.415	-0.051	27.415
2.000	1.000	2.000	4.000	18.926	-4.177	19.382
2.000	1.000	2.000	5.000	-7.120	-10.736	12.882
2.000	1.000	2.000	6.000	16.635	-16.598	23.500
2.000	1.000	2.000	7.000	30.365	-4.790	30.740
2.000	1.000	2.000	8.000	-2.466	-0.390	2.497
2.000	1.000	2.000	9.000	1.777	1.081	2.080
2.000	1.000	2.000	10.000	29.871	-4.888	30.269
2.000	1.000	2.000	1.000	-15.879	-0.759	15.897
2.000	1.000	2.000	2.000	56.531	13.010	58.009
2.000	1.000	2.000	3.000	44.745	-13.988	46.881
2.000	1.000	2.000	4.000	-46.939	0.975	46.949
2.000	1.000	2.000	5.000	47.236	-0.483	47.238
2.000	1.000	2.000	6.000	-10.952	-2.938	11.339
2.000	1.000	2.000	7.000	22.206	9.130	24.009
2.000	1.000	2.000	8.000	51.306	13.908	53.158
2.000	1.000	2.000	9.000	11.724	-6.037	13.187
2.000	1.000	2.000	10.000	15.766	-6.637	17.106
