Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	53.000	2.000	1.000	124.407	31.862	128.422
2.000	53.000	2.000	2.000	-4.608	-3.823	5.987
2.000	53.000	2.000	3.000	15.490	-5.490	16.434
2.000	53.000	2.000	4.000	48.626	-0.980	48.635
2.000	53.000	2.000	5.000	7.255	10.882	13.078
2.000	53.000	2.000	6.000	17.940	-5.098	18.651
2.000	53.000	2.000	7.000	-19.313	-1.471	19.369
2.000	53.000	2.000	8.000	2.157	2.059	2.982
2.000	53.000	2.000	9.000	14.019	6.862	15.609
2.000	53.000	2.000	10.000	19.607	-0.686	19.619
2.000	53.000	2.000	1.000	42.351	-0.882	42.360
2.000	53.000	2.000	2.000	26.273	-9.313	27.875
2.000	53.000	2.000	3.000	18.333	-5.784	19.223
2.000	53.000	2.000	4.000	-36.861	0.098	36.861
2.000	53.000	2.000	5.000	-2.549	-0.392	2.579
2.000	53.000	2.000	6.000	8.137	5.686	9.927
2.000	53.000	2.000	7.000	-0.882	-13.627	13.655
2.000	53.000	2.000	8.000	-11.764	-0.882	11.797
2.000	53.000	2.000	9.000	4.608	-7.941	9.181
2.000	53.000	2.000	10.000	-4.412	0.294	4.421
2.000	53.000	2.000	1.000	0.490	-1.078	1.185
2.000	53.000	2.000	2.000	-15.686	1.078	15.723
2.000	53.000	2.000	3.000	-14.999	10.392	18.247
2.000	53.000	2.000	4.000	-34.705	0.588	34.710
2.000	53.000	2.000	5.000	50.292	2.255	50.343
2.000	53.000	2.000	6.000	-45.586	7.745	46.240
2.000	53.000	2.000	7.000	23.921	0.588	23.928
2.000	53.000	2.000	8.000	27.744	0.000	27.744
2.000	53.000	2.000	9.000	-12.254	-5.098	13.272
2.000	53.000	2.000	10.000	23.234	0.882	23.251
2.000	53.000	2.000	1.000	-34.410	-5.784	34.893
2.000	53.000	2.000	2.000	13.725	1.274	13.784
2.000	53.000	2.000	3.000	3.823	-4.117	5.619
2.000	53.000	2.000	4.000	48.920	-3.333	49.033
2.000	53.000	2.000	5.000	-0.196	-2.549	2.556
2.000	53.000	2.000	6.000	-13.529	-1.176	13.580
2.000	53.000	2.000	7.000	21.372	9.019	23.197
2.000	53.000	2.000	8.000	-10.000	-2.451	10.296
2.000	53.000	2.000	9.000	-4.804	-7.353	8.783
2.000	53.000	2.000	10.000	-4.314	-8.921	9.909
2.000	53.000	2.000	1.000	-23.528	4.216	23.903
2.000	53.000	2.000	2.000	28.724	0.000	28.724
2.000	53.000	2.000	3.000	14.705	-4.314	15.325
2.000	53.000	2.000	4.000	-7.843	-8.431	11.515
2.000	53.000	2.000	5.000	4.804	-2.255	5.307
2.000	53.000	2.000	6.000	16.862	-15.294	22.764
2.000	53.000	2.000	7.000	-30.587	5.784	31.129
2.000	53.000	2.000	8.000	-4.314	-4.216	6.031
2.000	53.000	2.000	9.000	25.195	-3.725	25.469
2.000	53.000	2.000	10.000	-31.763	-8.333	32.838
2.000	53.000	2.000	1.000	9.215	-3.921	10.015
2.000	53.000	2.000	2.000	4.314	0.392	4.331
2.000	53.000	2.000	3.000	-20.784	-6.078	21.654
2.000	53.000	2.000	4.000	-17.940	-7.745	19.541
2.000	53.000	2.000	5.000	-2.647	-11.274	11.581
2.000	53.000	2.000	6.000	17.058	-6.078	18.109
2.000	53.000	2.000	7.000	-4.412	1.569	4.682
2.000	53.000	2.000	8.000	15.882	-5.686	16.869
2.000	53.000	2.000	9.000	12.058	-4.019	12.711
2.000	53.000	2.000	10.000	-7.549	0.784	7.589
2.000	53.000	2.000	1.000	17.842	-6.764	19.082
2.000	53.000	2.000	2.000	-6.764	3.921	7.819
2.000	53.000	2.000	3.000	-2.549	2.941	3.892
2.000	53.000	2.000	4.000	13.627	-4.314	14.293
2.000	53.000	2.000	5.000	-25.097	-2.745	25.247
2.000	53.000	2.000	6.000	27.254	8.921	28.677
2.000	53.000	2.000	7.000	5.980	-8.137	10.098
2.000	53.000	2.000	8.000	-27.450	-3.235	27.640
2.000	53.000	2.000	9.000	-13.333	-1.863	13.462
2.000	53.000	2.000	10.000	51.567	10.686	52.662
2.000	53.000	2.000	1.000	5.882	-2.255	6.299
2.000	53.000	2.000	2.000	25.783	0.098	25.783
2.000	53.000	2.000	3.000	-10.294	-2.549	10.605
