Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	30.000	2.000	1.000	13.809	-18.119	22.781
2.000	30.000	2.000	2.000	-9.794	-9.010	13.308
2.000	30.000	2.000	3.000	22.820	-9.794	24.833
2.000	30.000	2.000	4.000	-43.191	-3.722	43.351
2.000	30.000	2.000	5.000	30.459	8.619	31.655
2.000	30.000	2.000	6.000	-1.371	-9.500	9.599
2.000	30.000	2.000	7.000	-16.846	-9.402	19.292
2.000	30.000	2.000	8.000	7.541	-20.665	21.998
2.000	30.000	2.000	9.000	33.495	-14.691	36.575
2.000	30.000	2.000	10.000	-23.016	-2.546	23.156
2.000	30.000	2.000	1.000	-6.366	-6.464	9.072
2.000	30.000	2.000	2.000	11.165	-11.263	15.859
2.000	30.000	2.000	3.000	-2.938	-6.170	6.834
2.000	30.000	2.000	4.000	29.578	-17.923	34.584
2.000	30.000	2.000	5.000	27.815	-16.160	32.168
2.000	30.000	2.000	6.000	1.567	-9.794	9.919
2.000	30.000	2.000	7.000	-30.459	-7.541	31.379
2.000	30.000	2.000	8.000	-38.490	-4.309	38.731
2.000	30.000	2.000	9.000	32.908	-2.253	32.985
2.000	30.000	2.000	10.000	-28.598	-5.974	29.216
2.000	30.000	2.000	1.000	3.036	-9.598	10.067
2.000	30.000	2.000	2.000	10.675	-8.717	13.782
2.000	30.000	2.000	3.000	-15.083	-9.500	17.825
2.000	30.000	2.000	4.000	-3.722	-6.856	7.801
2.000	30.000	2.000	5.000	-31.830	-13.124	34.430
2.000	30.000	2.000	6.000	2.448	-9.402	9.716
2.000	30.000	2.000	7.000	6.072	-9.794	11.524
2.000	30.000	2.000	8.000	90.000	-14.397	91.144
2.000	30.000	2.000	9.000	-42.408	-4.603	42.657
2.000	30.000	2.000	10.000	-13.320	-2.155	13.493
2.000	30.000	2.000	1.000	-33.593	-5.093	33.977
2.000	30.000	2.000	2.000	-18.902	-7.541	20.351
2.000	30.000	2.000	3.000	13.614	-2.644	13.868
2.000	30.000	2.000	4.000	5.289	-10.284	11.564
2.000	30.000	2.000	5.000	-19.294	-7.248	20.610
2.000	30.000	2.000	6.000	-8.325	-2.644	8.735
2.000	30.000	2.000	7.000	14.397	-8.619	16.780
2.000	30.000	2.000	8.000	-16.454	8.912	18.713
2.000	30.000	2.000	9.000	-23.016	-9.500	24.899
2.000	30.000	2.000	10.000	-12.047	-4.505	12.861
2.000	30.000	2.000	1.000	-15.866	-3.624	16.275
2.000	30.000	2.000	2.000	29.872	-6.954	30.670
2.000	30.000	2.000	3.000	-24.387	-2.155	24.482
