Grp	sID	Phase	Trial	S/L	L/R	
1.000	75.000	2.000	1.000	21.462	-5.032
1.000	75.000	2.000	2.000	-12.611	-8.165
1.000	75.000	2.000	3.000	13.535	-6.817
1.000	75.000	2.000	4.000	4.249	-13.307
1.000	75.000	2.000	5.000	-35.370	5.188
1.000	75.000	2.000	6.000	19.629	-14.733
1.000	75.000	2.000	7.000	60.152	-6.488
1.000	75.000	2.000	8.000	45.161	-4.376
1.000	75.000	2.000	9.000	-3.099	-12.153
1.000	75.000	2.000	10.000	-14.379	-6.113
1.000	75.000	2.000	1.000	7.572	-10.751
1.000	75.000	2.000	2.000	17.254	-6.121
1.000	75.000	2.000	3.000	41.736	-5.170
1.000	75.000	2.000	4.000	13.735	-8.481
1.000	75.000	2.000	5.000	19.910	-10.227
1.000	75.000	2.000	6.000	36.445	-4.303
1.000	75.000	2.000	7.000	27.552	-11.086
1.000	75.000	2.000	8.000	-24.069	-8.099
1.000	75.000	2.000	9.000	-10.750	-7.964
1.000	75.000	2.000	10.000	14.024	-6.620
1.000	75.000	2.000	1.000	13.438	-7.209
1.000	75.000	2.000	2.000	13.928	-7.306
1.000	75.000	2.000	3.000	23.643	-14.133
1.000	75.000	2.000	4.000	-22.315	-5.058
1.000	75.000	2.000	5.000	50.843	-4.752
1.000	75.000	2.000	6.000	-4.474	-10.884
1.000	75.000	2.000	7.000	-0.569	-6.661
1.000	75.000	2.000	8.000	51.333	-4.849
1.000	75.000	2.000	9.000	-6.644	-5.503
1.000	75.000	2.000	10.000	10.097	-3.399
1.000	75.000	2.000	1.000	-2.817	-8.137
1.000	75.000	2.000	2.000	16.373	-6.123
1.000	75.000	2.000	3.000	-14.587	-1.804
1.000	75.000	2.000	4.000	0.986	-2.348
1.000	75.000	2.000	5.000	19.508	-6.604
1.000	75.000	2.000	6.000	5.912	-12.715
1.000	75.000	2.000	7.000	-20.647	-6.327
1.000	75.000	2.000	8.000	-9.162	-15.500
1.000	75.000	2.000	9.000	3.942	-8.509
1.000	75.000	2.000	10.000	19.715	-10.423
1.000	75.000	2.000	1.000	8.848	-11.727
1.000	75.000	2.000	2.000	7.464	-7.422
1.000	75.000	2.000	3.000	44.594	-11.527
1.000	75.000	2.000	4.000	-24.167	-8.100
1.000	75.000	2.000	5.000	10.711	-12.603
1.000	75.000	2.000	6.000	-22.401	-9.172
1.000	75.000	2.000	7.000	2.373	-7.926
1.000	75.000	2.000	8.000	-15.743	-8.565
1.000	75.000	2.000	9.000	6.110	-13.204
1.000	75.000	2.000	10.000	22.492	-22.657
