Grp	sID	Phase	Trial	S/L	L/R	
2.000	66.000	2.000	1.000	NA	NA
2.000	66.000	2.000	2.000	118.959	-21.263
2.000	66.000	2.000	3.000	-40.896	-5.980
2.000	66.000	2.000	4.000	16.805	-21.130
2.000	66.000	2.000	5.000	47.835	-5.428
2.000	66.000	2.000	6.000	-32.570	-6.115
2.000	66.000	2.000	7.000	-0.055	-5.877
2.000	66.000	2.000	8.000	-3.888	-17.364
2.000	66.000	2.000	9.000	-17.076	-8.744
2.000	66.000	2.000	10.000	-5.476	-1.215
2.000	66.000	2.000	1.000	12.381	7.926
2.000	66.000	2.000	2.000	NA	NA
2.000	66.000	2.000	3.000	3.656	9.037
2.000	66.000	2.000	4.000	-28.948	7.525
2.000	66.000	2.000	5.000	-30.120	7.125
2.000	66.000	2.000	6.000	20.021	-5.534
2.000	66.000	2.000	7.000	6.400	-4.556
2.000	66.000	2.000	8.000	16.497	-5.854
2.000	66.000	2.000	9.000	6.825	-9.157
2.000	66.000	2.000	10.000	-23.254	-7.712
2.000	66.000	2.000	1.000	40.152	13.908
2.000	66.000	2.000	2.000	-13.054	-9.596
2.000	66.000	2.000	3.000	28.017	-0.774
2.000	66.000	2.000	4.000	37.740	-4.425
2.000	66.000	2.000	5.000	-36.115	-3.497
2.000	66.000	2.000	6.000	-18.948	-7.191
2.000	66.000	2.000	7.000	14.130	-3.618
2.000	66.000	2.000	8.000	12.856	-3.432
2.000	66.000	2.000	9.000	8.832	-2.286
2.000	66.000	2.000	10.000	7.088	-4.943
2.000	66.000	2.000	1.000	-11.054	-1.844
2.000	66.000	2.000	2.000	0.297	-0.488
2.000	66.000	2.000	3.000	-8.611	-1.043
2.000	66.000	2.000	4.000	-2.301	6.643
2.000	66.000	2.000	5.000	-13.992	-1.865
2.000	66.000	2.000	6.000	14.917	-4.004
2.000	66.000	2.000	7.000	14.214	-1.659
2.000	66.000	2.000	8.000	-0.001	0.196
2.000	66.000	2.000	9.000	1.231	-7.630
2.000	66.000	2.000	10.000	32.459	-5.443
2.000	66.000	2.000	1.000	8.370	7.211
2.000	66.000	2.000	2.000	1.412	7.846
2.000	66.000	2.000	3.000	12.624	-11.954
2.000	66.000	2.000	4.000	-11.279	2.072
2.000	66.000	2.000	5.000	13.428	-1.371
2.000	66.000	2.000	6.000	-12.663	3.923
2.000	66.000	2.000	7.000	7.318	-9.545
2.000	66.000	2.000	8.000	-11.758	0.697
2.000	66.000	2.000	9.000	-0.296	0.292
2.000	66.000	2.000	10.000	17.354	-2.517
2.000	66.000	2.000	1.000	14.408	-1.462
2.000	66.000	2.000	2.000	19.400	-1.033
2.000	66.000	2.000	3.000	13.267	-6.171
2.000	66.000	2.000	4.000	-43.550	-4.628
2.000	66.000	2.000	5.000	-4.598	-0.719
2.000	66.000	2.000	6.000	-20.130	-6.220
