Grp	sID	Phase	Trial	S/L	L/R	
1.000	67.000	2.000	1.000	106.167	-38.332
1.000	67.000	2.000	2.000	12.538	-11.770
1.000	67.000	2.000	3.000	-1.597	-22.659
1.000	67.000	2.000	4.000	19.753	-6.324
1.000	67.000	2.000	5.000	-39.266	-6.467
1.000	67.000	2.000	6.000	90.990	-14.424
1.000	67.000	2.000	7.000	-22.888	-7.228
1.000	67.000	2.000	8.000	1.370	-12.833
1.000	67.000	2.000	9.000	-21.399	-9.668
1.000	67.000	2.000	10.000	29.096	-10.275
1.000	67.000	2.000	1.000	41.936	-9.886
1.000	67.000	2.000	2.000	15.176	-10.476
1.000	67.000	2.000	3.000	43.461	-3.992
1.000	67.000	2.000	4.000	11.951	-11.872
1.000	67.000	2.000	5.000	44.257	-18.692
1.000	67.000	2.000	6.000	10.951	-9.233
1.000	67.000	2.000	7.000	8.064	-16.509
1.000	67.000	2.000	8.000	10.399	-14.139
1.000	67.000	2.000	9.000	-34.554	-7.315
1.000	67.000	2.000	10.000	47.139	-10.729
1.000	67.000	2.000	1.000	10.400	-14.237
1.000	67.000	2.000	2.000	-0.643	7.348
1.000	67.000	2.000	3.000	45.450	-7.801
1.000	67.000	2.000	4.000	43.977	-7.419
1.000	67.000	2.000	5.000	28.677	-6.650
1.000	67.000	2.000	6.000	0.086	-11.666
1.000	67.000	2.000	7.000	11.672	-13.933
1.000	67.000	2.000	8.000	-20.447	-5.838
1.000	67.000	2.000	9.000	76.208	-17.377
1.000	67.000	2.000	10.000	21.397	-16.508
1.000	67.000	2.000	1.000	61.158	-10.626
1.000	67.000	2.000	2.000	-17.504	-19.346
1.000	67.000	2.000	3.000	27.847	-0.480
1.000	67.000	2.000	4.000	-6.605	-8.382
1.000	67.000	2.000	5.000	9.737	-17.477
1.000	67.000	2.000	6.000	1.471	-13.225
1.000	67.000	2.000	7.000	11.199	-16.290
1.000	67.000	2.000	8.000	44.258	-18.888
1.000	67.000	2.000	9.000	4.316	-13.498
1.000	67.000	2.000	10.000	-1.887	-10.014
1.000	67.000	2.000	1.000	58.178	-18.687
1.000	67.000	2.000	2.000	12.732	-11.474
1.000	67.000	2.000	3.000	3.245	-14.486
1.000	67.000	2.000	4.000	1.355	-10.872
1.000	67.000	2.000	5.000	25.038	-5.109
1.000	67.000	2.000	6.000	44.172	-7.222
1.000	67.000	2.000	7.000	8.817	-12.386
1.000	67.000	2.000	8.000	22.194	-5.032
1.000	67.000	2.000	9.000	10.696	-14.529
1.000	67.000	2.000	10.000	30.406	-1.834
1.000	67.000	2.000	1.000	5.782	-12.898
1.000	67.000	2.000	2.000	22.789	-19.145
1.000	67.000	2.000	3.000	32.301	-6.133
1.000	67.000	2.000	4.000	-34.675	-4.178
1.000	67.000	2.000	5.000	5.971	1.319
1.000	67.000	2.000	6.000	0.381	-11.664
1.000	67.000	2.000	7.000	-10.886	-12.728
1.000	67.000	2.000	8.000	8.818	-12.484
1.000	67.000	2.000	9.000	9.010	-11.992
1.000	67.000	2.000	10.000	-33.196	-5.344
1.000	67.000	2.000	1.000	5.683	-12.801
1.000	67.000	2.000	2.000	38.465	-17.656
1.000	67.000	2.000	3.000	7.653	-13.963
1.000	67.000	2.000	4.000	-17.437	-15.129
1.000	67.000	2.000	5.000	-0.542	-6.181
1.000	67.000	2.000	6.000	16.784	-15.856
1.000	67.000	2.000	7.000	6.258	-10.934
1.000	67.000	2.000	8.000	-28.082	-7.561
1.000	67.000	2.000	9.000	8.820	-12.680
1.000	67.000	2.000	10.000	66.883	-2.642
1.000	67.000	2.000	1.000	50.887	-0.505
1.000	67.000	2.000	2.000	-6.367	-13.969
1.000	67.000	2.000	3.000	34.501	-11.999
1.000	67.000	2.000	4.000	-22.425	-3.499
1.000	67.000	2.000	5.000	32.376	-16.329
1.000	67.000	2.000	6.000	-14.763	-5.502
1.000	67.000	2.000	7.000	7.512	-8.278
1.000	67.000	2.000	8.000	18.310	-10.061
1.000	67.000	2.000	9.000	-7.934	-14.275
1.000	67.000	2.000	10.000	7.797	-7.001
1.000	67.000	2.000	1.000	-24.087	-4.198
1.000	67.000	2.000	2.000	1.770	-13.909
1.000	67.000	2.000	3.000	-21.210	4.451
1.000	67.000	2.000	4.000	18.310	-10.061
1.000	67.000	2.000	5.000	-13.858	-8.632
1.000	67.000	2.000	6.000	-2.768	-10.119
1.000	67.000	2.000	7.000	2.865	-16.155
1.000	67.000	2.000	8.000	6.325	-20.051
1.000	67.000	2.000	9.000	-5.958	-2.985
1.000	67.000	2.000	10.000	3.531	-13.405
1.000	67.000	2.000	1.000	5.397	-13.882
1.000	67.000	2.000	2.000	4.093	-9.970
1.000	67.000	2.000	3.000	-2.141	-15.408
1.000	67.000	2.000	4.000	6.242	4.458
1.000	67.000	2.000	5.000	25.722	8.426
1.000	67.000	2.000	6.000	24.219	-13.644
1.000	67.000	2.000	7.000	-3.204	-4.239
1.000	67.000	2.000	8.000	-6.791	-9.756
1.000	67.000	2.000	9.000	10.800	-15.312
1.000	67.000	2.000	10.000	0.273	2.845
