Grp	sID	Phase	Trial	S/L	L/R	
2.000	74.000	2.000	1.000	68.355	-36.912
2.000	74.000	2.000	2.000	2.246	-22.655
2.000	74.000	2.000	3.000	-27.635	-5.859
2.000	74.000	2.000	4.000	51.950	-1.172
2.000	74.000	2.000	5.000	97.944	-9.374
2.000	74.000	2.000	6.000	-15.429	-13.769
2.000	74.000	2.000	7.000	6.054	-6.445
2.000	74.000	2.000	8.000	-2.637	-4.883
2.000	74.000	2.000	9.000	20.604	-12.206
2.000	74.000	2.000	10.000	-11.913	-8.789
2.000	74.000	2.000	1.000	-6.152	-18.163
2.000	74.000	2.000	2.000	9.277	-9.472
2.000	74.000	2.000	3.000	59.957	-11.425
2.000	74.000	2.000	4.000	-69.918	0.977
2.000	74.000	2.000	5.000	23.143	-12.792
2.000	74.000	2.000	6.000	-14.550	-5.175
2.000	74.000	2.000	7.000	-1.172	-1.367
2.000	74.000	2.000	8.000	-43.845	-9.472
2.000	74.000	2.000	9.000	-28.416	-16.601
2.000	74.000	2.000	10.000	-10.058	-16.015
2.000	74.000	2.000	1.000	-2.832	-6.152
2.000	74.000	2.000	2.000	-39.646	-4.394
2.000	74.000	2.000	3.000	-39.256	-4.101
2.000	74.000	2.000	4.000	9.863	-7.031
2.000	74.000	2.000	5.000	19.140	-21.776
2.000	74.000	2.000	6.000	47.751	-1.855
2.000	74.000	2.000	7.000	-5.175	-10.839
2.000	74.000	2.000	8.000	-21.093	-10.253
2.000	74.000	2.000	9.000	8.007	-9.179
2.000	74.000	2.000	10.000	5.371	-4.394
2.000	74.000	2.000	1.000	-30.565	-5.761
2.000	74.000	2.000	2.000	-14.062	-10.058
2.000	74.000	2.000	3.000	46.091	-9.374
2.000	74.000	2.000	4.000	19.140	-11.816
2.000	74.000	2.000	5.000	61.715	-2.930
2.000	74.000	2.000	6.000	13.671	-3.125
2.000	74.000	2.000	7.000	-20.800	-10.449
2.000	74.000	2.000	8.000	-8.105	-12.109
2.000	74.000	2.000	9.000	10.742	-12.402
2.000	74.000	2.000	10.000	21.971	-12.011
2.000	74.000	2.000	1.000	6.445	-10.156
2.000	74.000	2.000	2.000	29.490	-4.492
2.000	74.000	2.000	3.000	-15.331	-0.488
2.000	74.000	2.000	4.000	49.997	-12.011
2.000	74.000	2.000	5.000	-47.654	-3.222
2.000	74.000	2.000	6.000	-20.116	-7.617
2.000	74.000	2.000	7.000	39.256	9.765
2.000	74.000	2.000	8.000	22.460	-5.468
2.000	74.000	2.000	9.000	12.011	-3.808
2.000	74.000	2.000	10.000	20.311	-11.327
2.000	74.000	2.000	1.000	21.093	-17.968
2.000	74.000	2.000	2.000	8.203	-5.957
2.000	74.000	2.000	3.000	61.520	-12.597
2.000	74.000	2.000	4.000	-32.713	-4.883
2.000	74.000	2.000	5.000	1.660	-4.883
2.000	74.000	2.000	6.000	16.112	-3.222
2.000	74.000	2.000	7.000	33.299	-29.198
2.000	74.000	2.000	8.000	-37.303	-3.613
2.000	74.000	2.000	9.000	-12.890	-5.078
2.000	74.000	2.000	10.000	-24.706	-11.132
2.000	74.000	2.000	1.000	16.112	-6.347
2.000	74.000	2.000	2.000	20.311	-0.195
2.000	74.000	2.000	3.000	16.405	-2.930
2.000	74.000	2.000	4.000	-4.101	-11.523
2.000	74.000	2.000	5.000	50.876	-9.179
2.000	74.000	2.000	6.000	-49.802	7.714
2.000	74.000	2.000	7.000	-75.875	0.586
2.000	74.000	2.000	8.000	39.548	-3.222
2.000	74.000	2.000	9.000	-0.684	-10.742
2.000	74.000	2.000	10.000	-2.734	-11.620
