Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	56.000	2.000	1.000	72.743	-8.137	73.197
1.000	56.000	2.000	2.000	26.372	-15.784	30.735
1.000	56.000	2.000	3.000	17.156	-3.529	17.516
1.000	56.000	2.000	4.000	30.391	-7.255	31.245
1.000	56.000	2.000	5.000	54.312	-1.863	54.344
1.000	56.000	2.000	6.000	12.157	-8.333	14.739
1.000	56.000	2.000	7.000	16.372	-3.235	16.689
1.000	56.000	2.000	8.000	25.294	-16.078	29.971
1.000	56.000	2.000	9.000	5.588	-11.470	12.759
1.000	56.000	2.000	10.000	6.667	-13.431	14.995
1.000	56.000	2.000	1.000	29.999	-4.020	30.267
1.000	56.000	2.000	2.000	-11.470	-12.255	16.785
1.000	56.000	2.000	3.000	13.137	-2.941	13.462
1.000	56.000	2.000	4.000	4.118	-4.608	6.179
1.000	56.000	2.000	5.000	2.745	-16.470	16.697
1.000	56.000	2.000	6.000	23.137	-5.686	23.825
1.000	56.000	2.000	7.000	16.764	-12.941	21.178
1.000	56.000	2.000	8.000	8.627	-6.961	11.085
1.000	56.000	2.000	9.000	22.352	-11.470	25.124
1.000	56.000	2.000	10.000	4.314	-6.078	7.453
1.000	56.000	2.000	1.000	34.803	-4.314	35.069
1.000	56.000	2.000	2.000	5.392	1.078	5.499
1.000	56.000	2.000	3.000	-22.450	-13.921	26.416
1.000	56.000	2.000	4.000	-9.412	-9.019	13.036
1.000	56.000	2.000	5.000	46.077	-5.980	46.464
1.000	56.000	2.000	6.000	-6.078	-12.647	14.032
1.000	56.000	2.000	7.000	13.725	-0.196	13.727
1.000	56.000	2.000	8.000	13.627	-14.019	19.551
1.000	56.000	2.000	9.000	11.764	0.196	11.766
1.000	56.000	2.000	10.000	20.784	-5.490	21.497
1.000	56.000	2.000	1.000	-3.529	-3.235	4.788
1.000	56.000	2.000	2.000	15.000	-8.725	17.353
1.000	56.000	2.000	3.000	-10.882	-10.490	15.115
1.000	56.000	2.000	4.000	5.588	-7.157	9.080
1.000	56.000	2.000	5.000	-11.078	-2.059	11.268
1.000	56.000	2.000	6.000	-4.608	-10.196	11.189
1.000	56.000	2.000	7.000	5.588	-8.431	10.115
1.000	56.000	2.000	8.000	-15.000	-1.569	15.081
1.000	56.000	2.000	9.000	16.960	-15.588	23.036
1.000	56.000	2.000	10.000	-21.568	-9.804	23.692
1.000	56.000	2.000	1.000	-19.215	-8.039	20.829
1.000	56.000	2.000	2.000	4.216	-8.627	9.602
1.000	56.000	2.000	3.000	8.235	-8.823	12.069
1.000	56.000	2.000	4.000	-28.823	-5.000	29.253
1.000	56.000	2.000	5.000	-0.784	-5.686	5.740
1.000	56.000	2.000	6.000	12.451	-4.902	13.381
1.000	56.000	2.000	7.000	-5.000	-4.902	7.002
1.000	56.000	2.000	8.000	15.490	-10.196	18.544
1.000	56.000	2.000	9.000	-4.706	-5.392	7.157
1.000	56.000	2.000	10.000	8.627	-12.059	14.827
1.000	56.000	2.000	1.000	-3.333	-5.980	6.846
1.000	56.000	2.000	2.000	-2.549	-10.980	11.272
1.000	56.000	2.000	3.000	-11.078	-9.804	14.793
1.000	56.000	2.000	4.000	10.784	-9.215	14.185
1.000	56.000	2.000	5.000	-8.725	-7.941	11.798
1.000	56.000	2.000	6.000	30.097	-11.274	32.140
1.000	56.000	2.000	7.000	-8.529	-4.510	9.648
1.000	56.000	2.000	8.000	8.823	-12.549	15.340
1.000	56.000	2.000	9.000	-4.608	-4.412	6.379
1.000	56.000	2.000	10.000	-4.608	-10.588	11.547
1.000	56.000	2.000	1.000	-8.333	-7.745	11.377
1.000	56.000	2.000	2.000	-2.647	-6.176	6.720
1.000	56.000	2.000	3.000	-2.451	-6.274	6.736
1.000	56.000	2.000	4.000	10.980	-12.157	16.381
1.000	56.000	2.000	5.000	12.255	-10.980	16.454
1.000	56.000	2.000	6.000	-18.921	-6.667	20.061
1.000	56.000	2.000	7.000	-9.314	-7.451	11.927
