Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	13.000	2.000	1.000	16.423	-8.581	18.529
2.000	13.000	2.000	2.000	-29.779	-1.361	29.810
2.000	13.000	2.000	3.000	-20.517	-13.147	24.368
2.000	13.000	2.000	4.000	6.051	-5.800	8.382
2.000	13.000	2.000	5.000	-16.983	-10.908	20.184
2.000	13.000	2.000	6.000	-9.387	4.246	10.302
2.000	13.000	2.000	7.000	-51.811	-0.301	51.812
2.000	13.000	2.000	8.000	3.038	0.381	3.061
2.000	13.000	2.000	9.000	-7.740	-0.755	7.777
2.000	13.000	2.000	10.000	-15.490	-4.155	16.037
2.000	13.000	2.000	1.000	19.023	6.297	20.038
2.000	13.000	2.000	2.000	-3.528	-0.673	3.592
2.000	13.000	2.000	3.000	6.251	-4.822	7.894
2.000	13.000	2.000	4.000	0.386	-1.666	1.710
2.000	13.000	2.000	5.000	-9.181	7.085	11.597
2.000	13.000	2.000	6.000	5.971	-0.903	6.039
2.000	13.000	2.000	7.000	-15.477	-0.629	15.490
2.000	13.000	2.000	8.000	-16.263	-1.312	16.316
2.000	13.000	2.000	9.000	14.965	-5.539	15.957
2.000	13.000	2.000	10.000	-40.245	2.399	40.316
2.000	13.000	2.000	1.000	-8.408	4.144	9.374
2.000	13.000	2.000	2.000	12.656	5.928	13.976
2.000	13.000	2.000	3.000	32.352	8.795	33.526
2.000	13.000	2.000	4.000	3.137	0.772	3.231
2.000	13.000	2.000	5.000	-48.765	2.430	48.826
2.000	13.000	2.000	6.000	1.664	-0.398	1.710
2.000	13.000	2.000	7.000	-16.655	-1.506	16.723
2.000	13.000	2.000	8.000	-53.082	0.291	53.083
2.000	13.000	2.000	9.000	-4.595	2.367	5.169
2.000	13.000	2.000	10.000	-34.383	-1.638	34.422
2.000	13.000	2.000	1.000	8.609	-2.578	8.987
2.000	13.000	2.000	2.000	-13.814	-1.223	13.868
2.000	13.000	2.000	3.000	1.558	-2.356	2.825
2.000	13.000	2.000	4.000	-8.526	-1.438	8.646
2.000	13.000	2.000	5.000	-7.344	0.321	7.351
2.000	13.000	2.000	6.000	15.855	-3.192	16.173
2.000	13.000	2.000	7.000	-39.843	5.042	40.161
2.000	13.000	2.000	8.000	2.145	-2.750	3.488
2.000	13.000	2.000	9.000	-15.558	4.072	16.082
2.000	13.000	2.000	10.000	-7.645	-1.637	7.819
2.000	13.000	2.000	1.000	6.348	-4.920	8.032
2.000	13.000	2.000	2.000	-10.025	-9.562	13.853
2.000	13.000	2.000	3.000	-2.130	6.668	7.000
2.000	13.000	2.000	4.000	-3.529	-0.771	3.612
2.000	13.000	2.000	5.000	0.187	-2.351	2.359
2.000	13.000	2.000	6.000	13.792	-4.751	14.588
2.000	13.000	2.000	7.000	6.053	-5.409	8.117
2.000	13.000	2.000	8.000	-4.904	-1.941	5.274
2.000	13.000	2.000	9.000	-34.084	-0.268	34.085
2.000	13.000	2.000	10.000	5.757	-5.799	8.172
2.000	13.000	2.000	1.000	-22.635	-3.052	22.840
2.000	13.000	2.000	2.000	-0.344	-13.906	13.910
2.000	13.000	2.000	3.000	5.757	-5.799	8.172
2.000	13.000	2.000	4.000	0.806	6.265	6.317
2.000	13.000	2.000	5.000	5.757	-5.799	8.172
2.000	13.000	2.000	6.000	-2.942	-0.969	3.097
2.000	13.000	2.000	7.000	-28.412	-2.541	28.525
2.000	13.000	2.000	8.000	-32.729	-4.582	33.048
2.000	13.000	2.000	9.000	11.435	-6.506	13.156
2.000	13.000	2.000	10.000	-17.855	-8.260	19.673
2.000	13.000	2.000	1.000	11.436	-6.408	13.109
2.000	13.000	2.000	2.000	8.300	-6.886	10.784
2.000	13.000	2.000	3.000	16.809	-10.149	19.635
2.000	13.000	2.000	4.000	-22.214	5.076	22.786
2.000	13.000	2.000	5.000	-43.690	-2.388	43.755
2.000	13.000	2.000	6.000	35.975	8.488	36.963
2.000	13.000	2.000	7.000	11.828	-6.213	13.361
2.000	13.000	2.000	8.000	3.156	6.061	6.833
2.000	13.000	2.000	9.000	-9.591	1.896	9.777
2.000	13.000	2.000	10.000	-17.442	-2.287	17.591
