Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	52.000	2.000	1.000	84.675	-22.975	87.736
2.000	52.000	2.000	2.000	82.627	-18.074	84.581
2.000	52.000	2.000	3.000	-31.643	-4.741	31.996
2.000	52.000	2.000	4.000	-11.757	-2.427	12.005
2.000	52.000	2.000	5.000	-9.528	-15.261	17.991
2.000	52.000	2.000	6.000	-3.855	-19.091	19.476
2.000	52.000	2.000	7.000	9.771	-12.456	15.831
2.000	52.000	2.000	8.000	13.101	-12.560	18.149
2.000	52.000	2.000	9.000	-36.537	-3.067	36.665
2.000	52.000	2.000	10.000	-3.053	-9.494	9.973
2.000	52.000	2.000	1.000	11.452	-3.645	12.018
2.000	52.000	2.000	2.000	25.254	-7.881	26.455
2.000	52.000	2.000	3.000	-34.776	-4.442	35.059
2.000	52.000	2.000	4.000	15.368	-4.435	15.995
2.000	52.000	2.000	5.000	-6.971	-9.585	11.852
2.000	52.000	2.000	6.000	57.096	-1.280	57.110
2.000	52.000	2.000	7.000	-22.041	-2.898	22.231
2.000	52.000	2.000	8.000	-38.394	-0.909	38.404
2.000	52.000	2.000	9.000	-45.167	-9.222	46.098
2.000	52.000	2.000	10.000	25.254	-7.881	26.455
2.000	52.000	2.000	1.000	1.542	-13.420	13.509
2.000	52.000	2.000	2.000	-2.840	0.103	2.842
2.000	52.000	2.000	3.000	-5.094	-0.382	5.108
2.000	52.000	2.000	4.000	28.485	-8.083	29.610
2.000	52.000	2.000	5.000	-23.808	-4.951	24.318
2.000	52.000	2.000	6.000	19.385	-3.855	19.764
2.000	52.000	2.000	7.000	6.166	-2.362	6.603
2.000	52.000	2.000	8.000	-17.340	-2.515	17.521
2.000	52.000	2.000	9.000	1.641	-13.127	13.229
2.000	52.000	2.000	10.000	28.679	-9.357	30.167
2.000	52.000	2.000	1.000	-23.809	-5.147	24.359
2.000	52.000	2.000	2.000	13.990	-8.350	16.293
2.000	52.000	2.000	3.000	2.829	-6.175	6.792
2.000	52.000	2.000	4.000	16.638	-6.103	17.722
2.000	52.000	2.000	5.000	12.039	-3.940	12.667
2.000	52.000	2.000	6.000	-28.508	-4.159	28.810
2.000	52.000	2.000	7.000	25.839	-9.449	27.512
2.000	52.000	2.000	8.000	-8.339	-8.016	11.567
2.000	52.000	2.000	9.000	-7.647	-4.002	8.630
2.000	52.000	2.000	10.000	-17.633	-2.220	17.772
2.000	52.000	2.000	1.000	1.744	-10.483	10.627
2.000	52.000	2.000	2.000	7.715	-12.158	14.400
2.000	52.000	2.000	3.000	0.975	-2.646	2.820
2.000	52.000	2.000	4.000	-9.023	-6.643	11.204
2.000	52.000	2.000	5.000	30.152	-7.205	31.001
2.000	52.000	2.000	6.000	-2.663	-9.985	10.334
2.000	52.000	2.000	7.000	8.305	-10.984	13.770
2.000	52.000	2.000	8.000	-14.408	-6.046	15.625
2.000	52.000	2.000	9.000	35.240	-9.956	36.619
2.000	52.000	2.000	10.000	28.880	-6.615	29.628
2.000	52.000	2.000	1.000	-11.458	0.413	11.465
2.000	52.000	2.000	2.000	-8.935	-12.128	15.064
2.000	52.000	2.000	3.000	-17.937	-7.802	19.561
2.000	52.000	2.000	4.000	-5.889	-6.943	9.104
2.000	52.000	2.000	5.000	21.738	-2.292	21.859
2.000	52.000	2.000	6.000	3.508	-9.506	10.133
2.000	52.000	2.000	7.000	-6.078	-3.417	6.973
2.000	52.000	2.000	8.000	-19.479	5.814	20.328
2.000	52.000	2.000	9.000	-5.981	-3.613	6.987
2.000	52.000	2.000	10.000	3.415	-6.764	7.577
2.000	52.000	2.000	1.000	-6.370	-2.143	6.721
2.000	52.000	2.000	2.000	-7.454	-6.059	9.606
2.000	52.000	2.000	3.000	8.803	-6.088	10.704
2.000	52.000	2.000	4.000	-13.229	-4.089	13.847
2.000	52.000	2.000	5.000	10.555	-12.262	16.179
2.000	52.000	2.000	6.000	16.352	-1.793	16.450
2.000	52.000	2.000	7.000	36.720	-3.691	36.905
2.000	52.000	2.000	8.000	-3.239	-3.814	5.003
2.000	52.000	2.000	9.000	-7.845	-5.274	9.453
2.000	52.000	2.000	10.000	-3.054	-9.788	10.254
2.000	52.000	2.000	1.000	-3.836	-9.199	9.967
2.000	52.000	2.000	2.000	-13.420	-1.151	13.469
2.000	52.000	2.000	3.000	25.646	-7.784	26.801
2.000	52.000	2.000	4.000	-25.755	1.614	25.805
2.000	52.000	2.000	5.000	-15.483	-4.967	16.260
2.000	52.000	2.000	6.000	-23.124	-5.638	23.801
2.000	52.000	2.000	7.000	-9.311	-3.803	10.058
2.000	52.000	2.000	8.000	39.068	-5.458	39.447
2.000	52.000	2.000	9.000	-3.733	-5.967	7.039
2.000	52.000	2.000	10.000	-13.616	-1.444	13.692
