Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	43.000	2.000	1.000	12.106	-7.086	14.028
1.000	43.000	2.000	2.000	8.268	-13.386	15.733
1.000	43.000	2.000	3.000	-20.767	-4.527	21.255
1.000	43.000	2.000	4.000	7.579	-6.397	9.918
1.000	43.000	2.000	5.000	14.468	-13.976	20.116
1.000	43.000	2.000	6.000	15.354	-10.433	18.563
1.000	43.000	2.000	7.000	29.428	-0.591	29.434
1.000	43.000	2.000	8.000	17.126	0.098	17.126
1.000	43.000	2.000	9.000	20.472	-12.303	23.884
1.000	43.000	2.000	10.000	27.854	-6.594	28.624
1.000	43.000	2.000	1.000	-0.295	-6.890	6.896
1.000	43.000	2.000	2.000	14.173	10.827	17.835
1.000	43.000	2.000	3.000	1.772	-0.591	1.867
1.000	43.000	2.000	4.000	-0.098	0.492	0.502
1.000	43.000	2.000	5.000	18.503	-7.382	19.922
1.000	43.000	2.000	6.000	-6.397	-2.953	7.046
1.000	43.000	2.000	7.000	6.004	-6.791	9.065
1.000	43.000	2.000	8.000	11.122	-3.937	11.798
1.000	43.000	2.000	9.000	8.956	-4.527	10.036
1.000	43.000	2.000	10.000	17.224	8.464	19.191
1.000	43.000	2.000	1.000	2.067	-15.354	15.492
1.000	43.000	2.000	2.000	8.366	-4.429	9.466
1.000	43.000	2.000	3.000	-9.055	-8.464	12.395
1.000	43.000	2.000	4.000	0.000	-0.984	0.984
1.000	43.000	2.000	5.000	18.700	-9.153	20.820
1.000	43.000	2.000	6.000	-4.232	-0.197	4.237
1.000	43.000	2.000	7.000	-6.594	2.165	6.941
1.000	43.000	2.000	8.000	3.248	-7.283	7.975
1.000	43.000	2.000	9.000	13.287	-9.153	16.135
1.000	43.000	2.000	10.000	-0.886	6.496	6.556
1.000	43.000	2.000	1.000	-2.854	-10.433	10.816
1.000	43.000	2.000	2.000	24.507	-8.366	25.896
1.000	43.000	2.000	3.000	14.960	6.791	16.430
1.000	43.000	2.000	4.000	-6.988	-1.673	7.186
1.000	43.000	2.000	5.000	-0.197	-6.004	6.007
1.000	43.000	2.000	6.000	-11.614	5.905	13.029
1.000	43.000	2.000	7.000	8.169	-0.197	8.171
1.000	43.000	2.000	8.000	30.610	6.791	31.354
1.000	43.000	2.000	9.000	10.827	-9.055	14.114
1.000	43.000	2.000	10.000	-11.811	0.984	11.852
1.000	43.000	2.000	1.000	12.697	4.921	13.617
1.000	43.000	2.000	2.000	19.685	-1.476	19.740
1.000	43.000	2.000	3.000	-4.823	-1.181	4.965
1.000	43.000	2.000	4.000	7.382	-7.283	10.370
1.000	43.000	2.000	5.000	1.476	7.874	8.011
1.000	43.000	2.000	6.000	15.846	-5.118	16.652
1.000	43.000	2.000	7.000	-3.346	8.760	9.377
1.000	43.000	2.000	8.000	-3.543	-7.480	8.277
1.000	43.000	2.000	9.000	6.299	-4.035	7.481
1.000	43.000	2.000	10.000	4.134	-3.150	5.197
1.000	43.000	2.000	1.000	-10.827	-1.575	10.940
1.000	43.000	2.000	2.000	8.661	-4.331	9.684
1.000	43.000	2.000	3.000	28.051	-4.331	28.383
1.000	43.000	2.000	4.000	11.909	-2.067	12.087
1.000	43.000	2.000	5.000	17.421	-10.039	20.106
1.000	43.000	2.000	6.000	6.201	-4.035	7.398
1.000	43.000	2.000	7.000	-6.397	8.760	10.847
1.000	43.000	2.000	8.000	5.905	-5.807	8.282
1.000	43.000	2.000	9.000	3.937	-4.429	5.926
1.000	43.000	2.000	10.000	-0.394	0.492	0.630
1.000	43.000	2.000	1.000	8.169	-4.134	9.155
1.000	43.000	2.000	2.000	0.197	-1.181	1.197
1.000	43.000	2.000	3.000	19.389	-5.315	20.105
1.000	43.000	2.000	4.000	-6.791	-3.051	7.445
1.000	43.000	2.000	5.000	0.098	-1.673	1.676
1.000	43.000	2.000	6.000	-6.397	7.677	9.993
1.000	43.000	2.000	7.000	8.563	5.807	10.346
1.000	43.000	2.000	8.000	-2.953	-4.527	5.405
1.000	43.000	2.000	9.000	32.873	7.283	33.670
1.000	43.000	2.000	10.000	16.043	7.086	17.538
1.000	43.000	2.000	1.000	4.134	-8.464	9.420
1.000	43.000	2.000	2.000	17.126	7.185	18.572
1.000	43.000	2.000	3.000	-6.890	6.693	9.605
1.000	43.000	2.000	4.000	-1.772	3.740	4.138
1.000	43.000	2.000	5.000	-3.543	3.248	4.807
1.000	43.000	2.000	6.000	-2.657	0.295	2.674
1.000	43.000	2.000	7.000	1.476	-7.382	7.528
1.000	43.000	2.000	8.000	8.661	-2.559	9.031
1.000	43.000	2.000	9.000	-14.468	2.067	14.615
1.000	43.000	2.000	10.000	24.999	-8.858	26.522
1.000	43.000	2.000	1.000	-2.756	0.197	2.763
1.000	43.000	2.000	2.000	2.854	-8.071	8.561
1.000	43.000	2.000	3.000	1.673	-7.677	7.857
1.000	43.000	2.000	4.000	-21.850	9.941	24.005
1.000	43.000	2.000	5.000	1.968	-4.527	4.937
1.000	43.000	2.000	6.000	3.248	12.598	13.010
1.000	43.000	2.000	7.000	10.630	-5.512	11.974
1.000	43.000	2.000	8.000	9.449	-12.008	15.279
1.000	43.000	2.000	9.000	16.633	6.791	17.966
1.000	43.000	2.000	10.000	0.295	0.295	0.418
