Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	25.000	2.000	1.000	31.474	-3.122	31.628
1.000	25.000	2.000	2.000	26.311	-18.079	31.923
1.000	25.000	2.000	3.000	-35.699	-6.905	36.360
1.000	25.000	2.000	4.000	21.789	-0.554	21.796
1.000	25.000	2.000	5.000	25.028	-10.956	27.321
1.000	25.000	2.000	6.000	13.689	-12.261	18.377
1.000	25.000	2.000	7.000	-10.416	7.549	12.863
1.000	25.000	2.000	8.000	-17.561	-3.248	17.859
1.000	25.000	2.000	9.000	-7.557	-3.256	8.229
1.000	25.000	2.000	10.000	21.579	-10.368	23.940
1.000	25.000	2.000	1.000	55.919	13.171	57.450
1.000	25.000	2.000	2.000	-11.096	-2.965	11.485
1.000	25.000	2.000	3.000	0.529	-1.358	1.457
1.000	25.000	2.000	4.000	-6.465	-10.581	12.400
1.000	25.000	2.000	5.000	12.345	-9.847	15.791
1.000	25.000	2.000	6.000	-15.455	-4.855	16.200
1.000	25.000	2.000	7.000	0.860	7.675	7.722
1.000	25.000	2.000	8.000	20.630	-8.041	22.141
1.000	25.000	2.000	9.000	-3.752	-5.992	7.069
1.000	25.000	2.000	10.000	10.886	-20.579	23.281
1.000	25.000	2.000	1.000	-4.785	-0.725	4.840
1.000	25.000	2.000	2.000	1.644	-2.601	3.077
1.000	25.000	2.000	3.000	-9.097	-7.714	11.927
1.000	25.000	2.000	4.000	-25.468	-4.553	25.872
1.000	25.000	2.000	5.000	22.612	-1.904	22.692
1.000	25.000	2.000	6.000	4.516	-10.463	11.396
1.000	25.000	2.000	7.000	20.014	-13.943	24.392
1.000	25.000	2.000	8.000	-31.675	-0.120	31.675
1.000	25.000	2.000	9.000	-25.174	-4.544	25.581
1.000	25.000	2.000	10.000	39.817	0.059	39.817
1.000	25.000	2.000	1.000	18.292	-5.166	19.007
1.000	25.000	2.000	2.000	-26.168	-4.082	26.484
1.000	25.000	2.000	3.000	8.584	-5.247	10.061
1.000	25.000	2.000	4.000	10.575	-6.269	12.294
1.000	25.000	2.000	5.000	3.413	-2.747	4.381
1.000	25.000	2.000	6.000	-3.811	-0.501	3.843
1.000	25.000	2.000	7.000	-10.432	-5.594	11.838
1.000	25.000	2.000	8.000	8.887	-5.533	10.468
1.000	25.000	2.000	9.000	-4.147	-12.770	13.427
1.000	25.000	2.000	10.000	-5.317	-6.135	8.118
1.000	25.000	2.000	1.000	-37.395	0.991	37.408
1.000	25.000	2.000	2.000	-15.679	-0.448	15.686
1.000	25.000	2.000	3.000	4.026	-10.477	11.224
1.000	25.000	2.000	4.000	13.036	-6.591	14.608
1.000	25.000	2.000	5.000	13.059	-7.375	14.997
1.000	25.000	2.000	6.000	-3.743	-9.718	10.414
1.000	25.000	2.000	7.000	25.958	-2.299	26.059
1.000	25.000	2.000	8.000	-34.679	5.482	35.110
1.000	25.000	2.000	9.000	21.926	-5.356	22.571
1.000	25.000	2.000	10.000	4.021	-10.281	11.039
1.000	25.000	2.000	1.000	-10.194	-0.193	10.196
1.000	25.000	2.000	2.000	28.506	-2.226	28.592
1.000	25.000	2.000	3.000	-8.685	-1.523	8.818
1.000	25.000	2.000	4.000	-33.352	10.522	34.973
1.000	25.000	2.000	5.000	-1.842	-11.037	11.190
1.000	25.000	2.000	6.000	11.715	-8.394	14.412
1.000	25.000	2.000	7.000	-8.990	-8.005	12.038
1.000	25.000	2.000	8.000	-5.079	-0.734	5.132
1.000	25.000	2.000	9.000	-9.203	-7.423	11.823
1.000	25.000	2.000	10.000	-17.701	-8.646	19.700
1.000	25.000	2.000	1.000	-6.986	4.214	8.158
1.000	25.000	2.000	2.000	-2.808	-1.257	3.077
1.000	25.000	2.000	3.000	-41.517	4.502	41.760
1.000	25.000	2.000	4.000	4.113	-10.082	10.889
1.000	25.000	2.000	5.000	-14.957	-1.702	15.054
1.000	25.000	2.000	6.000	3.853	-4.401	5.849
1.000	25.000	2.000	7.000	-14.467	12.042	18.823
1.000	25.000	2.000	8.000	57.289	9.875	58.133
1.000	25.000	2.000	9.000	-30.138	-5.863	30.703
1.000	25.000	2.000	10.000	-7.185	4.306	8.376
1.000	25.000	2.000	1.000	5.617	2.514	6.154
1.000	25.000	2.000	2.000	17.211	1.767	17.301
1.000	25.000	2.000	3.000	5.813	5.953	8.320
1.000	25.000	2.000	4.000	8.694	-9.069	12.563
1.000	25.000	2.000	5.000	37.687	-14.615	40.421
1.000	25.000	2.000	6.000	-32.311	-5.337	32.748
1.000	25.000	2.000	7.000	-2.316	-8.206	8.527
1.000	25.000	2.000	8.000	7.596	5.317	9.272
1.000	25.000	2.000	9.000	-34.500	-4.222	34.758
1.000	25.000	2.000	10.000	-3.298	-4.704	5.745
1.000	25.000	2.000	1.000	-17.777	-9.433	20.124
1.000	25.000	2.000	2.000	2.240	3.987	4.573
1.000	25.000	2.000	3.000	-31.874	6.837	32.599
1.000	25.000	2.000	4.000	5.054	1.616	5.306
1.000	25.000	2.000	5.000	-32.820	-4.665	33.150
1.000	25.000	2.000	6.000	-4.639	-5.821	7.444
