Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	35.000	2.000	1.000	90.000	-22.794	92.842
1.000	35.000	2.000	2.000	-39.017	-5.937	39.466
1.000	35.000	2.000	3.000	-19.794	-20.365	28.399
1.000	35.000	2.000	4.000	61.958	-5.781	62.227
1.000	35.000	2.000	5.000	-21.983	-10.217	24.241
1.000	35.000	2.000	6.000	90.515	-5.735	90.697
1.000	35.000	2.000	7.000	34.651	-8.952	35.789
1.000	35.000	2.000	8.000	-48.351	-1.600	48.377
1.000	35.000	2.000	9.000	15.239	-12.165	19.499
1.000	35.000	2.000	10.000	-28.203	-6.871	29.028
1.000	35.000	2.000	1.000	34.646	-9.927	36.040
1.000	35.000	2.000	2.000	14.869	-8.362	17.059
1.000	35.000	2.000	3.000	40.863	-13.955	43.180
1.000	35.000	2.000	4.000	25.781	-9.101	27.340
1.000	35.000	2.000	5.000	20.321	-9.365	22.375
1.000	35.000	2.000	6.000	-26.255	-7.173	27.218
1.000	35.000	2.000	7.000	90.000	-12.023	90.800
1.000	35.000	2.000	8.000	63.985	-9.592	64.700
1.000	35.000	2.000	9.000	-43.799	-7.179	44.384
1.000	35.000	2.000	10.000	1.514	-8.682	8.813
1.000	35.000	2.000	1.000	37.356	-13.450	39.704
1.000	35.000	2.000	2.000	-67.896	7.176	68.274
1.000	35.000	2.000	3.000	109.936	-0.865	109.939
1.000	35.000	2.000	4.000	36.311	-8.376	37.264
1.000	35.000	2.000	5.000	11.947	-7.957	14.354
1.000	35.000	2.000	6.000	34.752	-8.173	35.701
1.000	35.000	2.000	7.000	46.448	-8.137	47.156
1.000	35.000	2.000	8.000	34.180	-5.734	34.658
1.000	35.000	2.000	9.000	12.446	-5.718	13.696
1.000	35.000	2.000	10.000	-5.312	-9.426	10.820
1.000	35.000	2.000	1.000	50.832	-8.647	51.562
1.000	35.000	2.000	2.000	31.941	-5.235	32.367
1.000	35.000	2.000	3.000	57.052	-11.993	58.299
1.000	35.000	2.000	4.000	-44.161	-1.719	44.194
1.000	35.000	2.000	5.000	57.962	-5.662	58.238
1.000	35.000	2.000	6.000	-28.181	-2.680	28.308
1.000	35.000	2.000	7.000	-49.325	-1.400	49.344
1.000	35.000	2.000	8.000	31.729	-8.547	32.860
1.000	35.000	2.000	9.000	-60.030	1.580	60.051
1.000	35.000	2.000	10.000	23.757	-4.607	24.200
1.000	35.000	2.000	1.000	97.622	-7.331	97.897
1.000	35.000	2.000	2.000	-11.645	-9.004	14.720
1.000	35.000	2.000	3.000	-38.327	-4.381	38.576
1.000	35.000	2.000	4.000	47.909	-8.437	48.646
1.000	35.000	2.000	5.000	20.222	-9.754	22.452
1.000	35.000	2.000	6.000	-27.130	-6.584	27.917
1.000	35.000	2.000	7.000	23.133	6.410	24.004
1.000	35.000	2.000	8.000	19.765	-3.904	20.147
1.000	35.000	2.000	9.000	46.838	-8.139	47.540
1.000	35.000	2.000	10.000	6.186	-9.974	11.736
