Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	23.000	2.000	1.000	110.954	-46.475	120.294
2.000	23.000	2.000	2.000	-10.861	-12.817	16.800
2.000	23.000	2.000	3.000	-5.773	-16.340	17.329
2.000	23.000	2.000	4.000	7.338	-20.645	21.910
2.000	23.000	2.000	5.000	-26.222	-16.633	31.052
2.000	23.000	2.000	6.000	12.524	-4.990	13.481
2.000	23.000	2.000	7.000	7.436	-18.492	19.931
2.000	23.000	2.000	8.000	21.232	-21.917	30.515
2.000	23.000	2.000	9.000	13.796	-19.569	23.943
2.000	23.000	2.000	10.000	-8.708	-14.187	16.646
2.000	23.000	2.000	1.000	17.710	-21.134	27.573
2.000	23.000	2.000	2.000	-0.783	-14.285	14.306
2.000	23.000	2.000	3.000	-9.002	0.489	9.015
2.000	23.000	2.000	4.000	-9.980	-16.829	19.566
2.000	23.000	2.000	5.000	-22.308	-7.632	23.577
2.000	23.000	2.000	6.000	10.469	-14.285	17.711
2.000	23.000	2.000	7.000	15.948	-18.884	24.717
2.000	23.000	2.000	8.000	-18.297	-9.686	20.702
2.000	23.000	2.000	9.000	14.187	-17.514	22.539
2.000	23.000	2.000	10.000	-14.970	-10.176	18.101
2.000	23.000	2.000	1.000	22.112	-12.622	25.461
2.000	23.000	2.000	2.000	-18.394	-9.686	20.789
2.000	23.000	2.000	3.000	5.479	-13.013	14.120
2.000	23.000	2.000	4.000	-1.859	-15.851	15.959
2.000	23.000	2.000	5.000	17.025	-17.220	24.215
2.000	23.000	2.000	6.000	-15.655	5.871	16.719
2.000	23.000	2.000	7.000	-6.947	6.849	9.755
2.000	23.000	2.000	8.000	-21.134	11.056	23.851
2.000	23.000	2.000	9.000	12.230	-15.068	19.407
2.000	23.000	2.000	10.000	-32.679	-5.186	33.088
2.000	23.000	2.000	1.000	16.438	-16.046	22.971
2.000	23.000	2.000	2.000	-29.842	-5.479	30.341
2.000	23.000	2.000	3.000	13.209	1.859	13.339
2.000	23.000	2.000	4.000	31.897	-17.025	36.156
2.000	23.000	2.000	5.000	7.143	-16.829	18.282
2.000	23.000	2.000	6.000	23.580	-19.275	30.456
2.000	23.000	2.000	7.000	8.708	10.763	13.844
2.000	23.000	2.000	8.000	-26.907	7.436	27.915
2.000	23.000	2.000	9.000	-8.219	-14.481	16.651
2.000	23.000	2.000	10.000	14.285	-8.414	16.579
2.000	23.000	2.000	1.000	-11.252	-13.796	17.803
2.000	23.000	2.000	2.000	-1.761	6.947	7.167
2.000	23.000	2.000	3.000	-26.222	8.708	27.630
2.000	23.000	2.000	4.000	-3.914	-0.391	3.933
2.000	23.000	2.000	5.000	15.948	8.708	18.171
2.000	23.000	2.000	6.000	5.186	-6.458	8.282
2.000	23.000	2.000	7.000	-17.514	-3.914	17.946
2.000	23.000	2.000	8.000	5.871	-11.154	12.605
2.000	23.000	2.000	9.000	16.340	-5.479	17.234
2.000	23.000	2.000	10.000	-36.006	-4.892	36.337
2.000	23.000	2.000	1.000	13.209	-6.849	14.879
2.000	23.000	2.000	2.000	21.036	-13.698	25.103
2.000	23.000	2.000	3.000	-3.522	-0.489	3.556
2.000	23.000	2.000	4.000	15.851	-8.806	18.132
2.000	23.000	2.000	5.000	18.688	-8.219	20.415
2.000	23.000	2.000	6.000	-21.036	4.696	21.554
2.000	23.000	2.000	7.000	-24.852	-8.610	26.301
2.000	23.000	2.000	8.000	15.361	-6.653	16.740
2.000	23.000	2.000	9.000	25.439	-9.295	27.084
2.000	23.000	2.000	10.000	-15.655	2.740	15.893
2.000	23.000	2.000	1.000	16.829	-3.718	17.235
2.000	23.000	2.000	2.000	7.632	-16.438	18.123
2.000	23.000	2.000	3.000	-1.565	-16.731	16.804
2.000	23.000	2.000	4.000	16.535	-6.262	17.681
2.000	23.000	2.000	5.000	-15.655	-11.839	19.627
2.000	23.000	2.000	6.000	-2.935	-1.761	3.423
2.000	23.000	2.000	7.000	-16.340	0.587	16.350
2.000	23.000	2.000	8.000	0.391	-1.468	1.519
2.000	23.000	2.000	9.000	-6.751	-2.837	7.323
2.000	23.000	2.000	10.000	-4.892	-1.076	5.009
2.000	23.000	2.000	1.000	3.522	-11.545	12.071
2.000	23.000	2.000	2.000	-15.557	-6.262	16.770
2.000	23.000	2.000	3.000	4.794	-13.013	13.868
2.000	23.000	2.000	4.000	-4.012	-8.512	9.410
2.000	23.000	2.000	5.000	9.295	-6.947	11.604
2.000	23.000	2.000	6.000	13.307	-1.174	13.358
2.000	23.000	2.000	7.000	6.653	-0.489	6.671
2.000	23.000	2.000	8.000	-6.947	-15.459	16.948
2.000	23.000	2.000	9.000	10.176	-15.166	18.263
2.000	23.000	2.000	10.000	11.154	-4.305	11.956
2.000	23.000	2.000	1.000	26.026	8.023	27.235
2.000	23.000	2.000	2.000	13.502	6.653	15.053
2.000	23.000	2.000	3.000	1.370	7.338	7.465
2.000	23.000	2.000	4.000	6.066	-18.492	19.462
2.000	23.000	2.000	5.000	15.753	-15.655	22.209
2.000	23.000	2.000	6.000	-9.002	-5.773	10.694
2.000	23.000	2.000	7.000	-19.666	0.783	19.682
2.000	23.000	2.000	8.000	-7.240	-1.370	7.369
2.000	23.000	2.000	9.000	2.642	-16.927	17.132
2.000	23.000	2.000	10.000	-12.328	-11.056	16.560
2.000	23.000	2.000	1.000	13.992	-16.340	21.512
2.000	23.000	2.000	2.000	-24.559	7.632	25.717
2.000	23.000	2.000	3.000	21.819	-0.587	21.827
2.000	23.000	2.000	4.000	-12.132	1.565	12.233
2.000	23.000	2.000	5.000	-3.033	-2.935	4.221
2.000	23.000	2.000	6.000	0.196	-1.468	1.481
2.000	23.000	2.000	7.000	17.122	-17.416	24.423
2.000	23.000	2.000	8.000	-23.384	-3.718	23.678
2.000	23.000	2.000	9.000	-6.751	-4.892	8.337
2.000	23.000	2.000	10.000	16.829	-6.751	18.133
