Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	6.000	2.000	1.000	90.000	33.151	95.911
2.000	6.000	2.000	2.000	-39.617	4.400	39.860
2.000	6.000	2.000	3.000	40.952	9.456	42.029
2.000	6.000	2.000	4.000	43.583	10.730	44.885
2.000	6.000	2.000	5.000	-7.317	-0.016	7.317
2.000	6.000	2.000	6.000	-43.712	3.220	43.830
2.000	6.000	2.000	7.000	4.197	-0.966	4.307
2.000	6.000	2.000	8.000	-28.183	-4.745	28.579
2.000	6.000	2.000	9.000	12.800	-9.044	15.673
2.000	6.000	2.000	10.000	-29.637	-8.943	30.957
2.000	6.000	2.000	1.000	17.199	-13.522	21.878
2.000	6.000	2.000	2.000	19.136	-6.982	20.370
2.000	6.000	2.000	3.000	-26.637	1.990	26.711
2.000	6.000	2.000	4.000	-10.715	-7.048	12.825
2.000	6.000	2.000	5.000	44.982	-4.193	45.177
2.000	6.000	2.000	6.000	-33.938	-4.758	34.270
2.000	6.000	2.000	7.000	3.731	-10.723	11.353
2.000	6.000	2.000	8.000	-32.961	-5.536	33.423
2.000	6.000	2.000	9.000	9.374	-3.881	10.146
2.000	6.000	2.000	10.000	25.957	-3.357	26.173
2.000	6.000	2.000	1.000	-7.680	-12.114	14.343
2.000	6.000	2.000	2.000	2.769	-16.968	17.193
2.000	6.000	2.000	3.000	6.379	-17.058	18.212
2.000	6.000	2.000	4.000	5.011	-15.988	16.755
2.000	6.000	2.000	5.000	-29.145	-10.893	31.114
2.000	6.000	2.000	6.000	22.160	-6.682	23.145
2.000	6.000	2.000	7.000	13.081	-3.776	13.615
2.000	6.000	2.000	8.000	-3.000	-10.933	11.337
2.000	6.000	2.000	9.000	-1.264	-1.759	2.166
2.000	6.000	2.000	10.000	-0.567	-8.293	8.313
2.000	6.000	2.000	1.000	7.634	-11.007	13.395
2.000	6.000	2.000	2.000	-4.284	-4.009	5.867
2.000	6.000	2.000	3.000	-20.778	-0.436	20.783
2.000	6.000	2.000	4.000	17.146	10.769	20.247
2.000	6.000	2.000	5.000	-32.593	4.416	32.891
2.000	6.000	2.000	6.000	-38.059	5.574	38.465
2.000	6.000	2.000	7.000	11.914	-5.632	13.178
2.000	6.000	2.000	8.000	14.064	-7.090	15.750
2.000	6.000	2.000	9.000	1.086	-5.948	6.047
2.000	6.000	2.000	10.000	15.917	-7.281	17.504
2.000	6.000	2.000	1.000	23.099	9.709	25.056
