Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	28.000	2.000	1.000	-14.662	4.138	15.235
1.000	28.000	2.000	2.000	50.415	-6.628	50.849
1.000	28.000	2.000	3.000	35.449	-2.873	35.565
1.000	28.000	2.000	4.000	-26.515	-3.060	26.691
1.000	28.000	2.000	5.000	-30.972	-4.890	31.356
1.000	28.000	2.000	6.000	-26.149	-3.951	26.446
1.000	28.000	2.000	7.000	42.820	-5.237	43.139
1.000	28.000	2.000	8.000	-13.105	-3.051	13.456
1.000	28.000	2.000	9.000	-5.368	-6.307	8.282
1.000	28.000	2.000	10.000	8.797	-0.447	8.808
1.000	28.000	2.000	1.000	-1.146	-5.840	5.951
1.000	28.000	2.000	2.000	13.958	-4.803	14.761
1.000	28.000	2.000	3.000	5.200	-16.691	17.482
1.000	28.000	2.000	4.000	-17.794	-2.722	18.001
1.000	28.000	2.000	5.000	12.927	-3.208	13.319
1.000	28.000	2.000	6.000	-28.136	8.732	29.460
1.000	28.000	2.000	7.000	-18.887	-3.278	19.169
1.000	28.000	2.000	8.000	33.373	-3.596	33.566
1.000	28.000	2.000	9.000	24.713	-8.635	26.178
1.000	28.000	2.000	10.000	-47.325	-1.682	47.355
1.000	28.000	2.000	1.000	-19.273	-3.071	19.516
1.000	28.000	2.000	2.000	31.162	-12.440	33.554
1.000	28.000	2.000	3.000	-41.532	9.213	42.542
1.000	28.000	2.000	4.000	-5.133	-1.517	5.353
1.000	28.000	2.000	5.000	7.908	-14.419	16.445
1.000	28.000	2.000	6.000	5.798	-12.890	14.134
1.000	28.000	2.000	7.000	-46.062	-2.012	46.106
1.000	28.000	2.000	8.000	-11.675	-11.216	16.190
1.000	28.000	2.000	9.000	-37.684	-3.426	37.840
1.000	28.000	2.000	10.000	-6.117	-5.111	7.971
1.000	28.000	2.000	1.000	26.501	-14.558	30.237
1.000	28.000	2.000	2.000	30.704	-14.776	34.075
1.000	28.000	2.000	3.000	-74.776	3.605	74.863
1.000	28.000	2.000	4.000	40.431	-20.340	45.259
1.000	28.000	2.000	5.000	-0.299	-10.465	10.469
1.000	28.000	2.000	6.000	15.260	-3.764	15.717
1.000	28.000	2.000	7.000	-2.574	-7.855	8.266
1.000	28.000	2.000	8.000	-10.549	-12.913	16.674
1.000	28.000	2.000	9.000	8.109	-14.229	16.377
1.000	28.000	2.000	10.000	-23.120	-4.136	23.487
1.000	28.000	2.000	1.000	-2.526	-19.896	20.055
1.000	28.000	2.000	2.000	32.493	-6.997	33.237
1.000	28.000	2.000	3.000	-5.502	-14.427	15.441
1.000	28.000	2.000	4.000	-33.926	1.361	33.953
1.000	28.000	2.000	5.000	-24.182	6.662	25.083
1.000	28.000	2.000	6.000	6.106	-5.558	8.256
1.000	28.000	2.000	7.000	-16.148	-3.356	16.494
1.000	28.000	2.000	8.000	-11.990	-5.139	13.045
1.000	28.000	2.000	9.000	23.581	-13.986	27.417
1.000	28.000	2.000	10.000	28.145	-5.013	28.588
1.000	28.000	2.000	1.000	-39.730	-3.074	39.849
1.000	28.000	2.000	2.000	19.264	-4.074	19.690
1.000	28.000	2.000	3.000	8.461	-5.332	10.001
1.000	28.000	2.000	4.000	-73.787	3.968	73.894
1.000	28.000	2.000	5.000	78.697	-10.275	79.365
1.000	28.000	2.000	6.000	44.880	-1.674	44.911
1.000	28.000	2.000	7.000	-34.080	-4.018	34.316
1.000	28.000	2.000	8.000	-2.579	-8.050	8.454
1.000	28.000	2.000	9.000	19.706	-5.751	20.528
1.000	28.000	2.000	10.000	-30.184	-4.717	30.551
1.000	28.000	2.000	1.000	-15.196	-0.838	15.219
1.000	28.000	2.000	2.000	-14.911	-4.566	15.594
1.000	28.000	2.000	3.000	17.291	-4.605	17.894
1.000	28.000	2.000	4.000	-2.585	-8.246	8.642
1.000	28.000	2.000	5.000	-3.356	-4.407	5.539
1.000	28.000	2.000	6.000	1.693	-9.249	9.403
1.000	28.000	2.000	7.000	17.129	-10.278	19.976
1.000	28.000	2.000	8.000	-17.238	-0.388	17.243
1.000	28.000	2.000	9.000	18.473	-4.345	18.978
1.000	28.000	2.000	10.000	13.307	-3.610	13.788
1.000	28.000	2.000	1.000	2.115	-11.610	11.802
1.000	28.000	2.000	2.000	-2.778	-11.569	11.897
1.000	28.000	2.000	3.000	3.744	-9.406	10.124
1.000	28.000	2.000	4.000	12.717	-20.821	24.397
1.000	28.000	2.000	5.000	-9.383	-6.388	11.351
1.000	28.000	2.000	6.000	24.705	-12.354	27.621
1.000	28.000	2.000	7.000	-11.253	-10.152	15.155
1.000	28.000	2.000	8.000	-37.500	-3.823	37.694
1.000	28.000	2.000	9.000	0.249	-1.573	1.593
