Grp	sID	Phase	Trial	S/L	L/R	
2.000	73.000	2.000	1.000	122.489	23.411
2.000	73.000	2.000	2.000	36.368	-8.477
2.000	73.000	2.000	3.000	94.169	11.675
2.000	73.000	2.000	4.000	33.020	-21.249
2.000	73.000	2.000	5.000	23.278	-15.763
2.000	73.000	2.000	6.000	99.076	-16.726
2.000	73.000	2.000	7.000	8.945	-12.509
2.000	73.000	2.000	8.000	121.785	-25.755
2.000	73.000	2.000	9.000	-46.749	-8.082
2.000	73.000	2.000	10.000	42.813	-5.957
2.000	73.000	2.000	1.000	-11.546	-14.410
2.000	73.000	2.000	2.000	78.097	-18.626
2.000	73.000	2.000	3.000	-28.035	-15.151
2.000	73.000	2.000	4.000	40.733	-18.731
2.000	73.000	2.000	5.000	-12.125	-11.482
2.000	73.000	2.000	6.000	3.974	-10.741
2.000	73.000	2.000	7.000	-46.749	-8.277
2.000	73.000	2.000	8.000	101.924	-8.928
2.000	73.000	2.000	9.000	-1.288	-8.387
2.000	73.000	2.000	10.000	28.910	-26.410
2.000	73.000	2.000	1.000	-26.850	-9.301
2.000	73.000	2.000	2.000	45.305	-24.401
2.000	73.000	2.000	3.000	1.439	-10.149
2.000	73.000	2.000	4.000	-45.771	-7.304
2.000	73.000	2.000	5.000	57.982	-26.577
2.000	73.000	2.000	6.000	11.873	-11.930
2.000	73.000	2.000	7.000	47.286	-11.723
2.000	73.000	2.000	8.000	-26.446	-3.351
2.000	73.000	2.000	9.000	NA	NA
2.000	73.000	2.000	10.000	36.393	2.156
2.000	73.000	2.000	1.000	-19.039	-6.685
2.000	73.000	2.000	2.000	22.500	-14.492
2.000	73.000	2.000	3.000	26.310	-12.648
2.000	73.000	2.000	4.000	0.275	-7.415
2.000	73.000	2.000	5.000	-25.873	-8.523
2.000	73.000	2.000	6.000	36.002	1.572
2.000	73.000	2.000	7.000	12.086	-4.614
2.000	73.000	2.000	8.000	20.486	-0.440
2.000	73.000	2.000	9.000	16.276	-6.478
2.000	73.000	2.000	10.000	4.468	-8.108
2.000	73.000	2.000	1.000	-40.610	-11.219
2.000	73.000	2.000	2.000	-20.306	-5.804
2.000	73.000	2.000	3.000	-0.114	-6.731
2.000	73.000	2.000	4.000	-8.415	-10.418
2.000	73.000	2.000	5.000	3.020	-1.861
2.000	73.000	2.000	6.000	-8.604	-7.979
2.000	73.000	2.000	7.000	-61.753	0.051
2.000	73.000	2.000	8.000	28.070	-10.994
2.000	73.000	2.000	9.000	26.120	-10.501
2.000	73.000	2.000	10.000	-6.738	-2.618
2.000	73.000	2.000	1.000	52.447	-15.638
2.000	73.000	2.000	2.000	-12.503	-6.409
2.000	73.000	2.000	3.000	-20.208	-5.902
2.000	73.000	2.000	4.000	38.139	-2.238
2.000	73.000	2.000	5.000	1.552	-3.808
2.000	73.000	2.000	6.000	27.966	-13.628
2.000	73.000	2.000	7.000	-20.110	-5.707
2.000	73.000	2.000	8.000	-43.319	-1.749
2.000	73.000	2.000	9.000	32.117	8.703
2.000	73.000	2.000	10.000	-10.835	-2.705
2.000	73.000	2.000	1.000	23.432	7.846
2.000	73.000	2.000	2.000	11.861	-16.906
2.000	73.000	2.000	3.000	5.918	-13.770
2.000	73.000	2.000	4.000	21.547	-5.222
2.000	73.000	2.000	5.000	-20.670	4.928
2.000	73.000	2.000	6.000	-11.524	-5.045
2.000	73.000	2.000	7.000	31.604	-1.637
2.000	73.000	2.000	8.000	-24.863	5.816
2.000	73.000	2.000	9.000	-0.317	-10.145
2.000	73.000	2.000	10.000	15.597	-4.915
2.000	73.000	2.000	1.000	16.675	-3.064
2.000	73.000	2.000	2.000	3.988	-5.083
2.000	73.000	2.000	3.000	18.608	-10.288
2.000	73.000	2.000	4.000	-45.188	-8.183
2.000	73.000	2.000	5.000	51.389	-9.392
2.000	73.000	2.000	6.000	40.405	7.219
2.000	73.000	2.000	7.000	96.614	14.010
2.000	73.000	2.000	8.000	-15.815	-4.352
2.000	73.000	2.000	9.000	76.743	-13.648
2.000	73.000	2.000	10.000	-47.425	-5.446
