Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	41.000	2.000	1.000	-18.979	-6.008	19.908
2.000	41.000	2.000	2.000	16.785	-10.016	19.546
2.000	41.000	2.000	3.000	41.334	-4.805	41.612
2.000	41.000	2.000	4.000	-2.643	-1.459	3.019
2.000	41.000	2.000	5.000	-35.495	-4.497	35.778
2.000	41.000	2.000	6.000	-48.480	0.914	48.489
2.000	41.000	2.000	7.000	-28.250	-0.509	28.255
2.000	41.000	2.000	8.000	-15.471	-9.928	18.383
2.000	41.000	2.000	9.000	53.844	-5.425	54.117
2.000	41.000	2.000	10.000	76.908	-7.052	77.231
2.000	41.000	2.000	1.000	0.190	-1.955	1.965
2.000	41.000	2.000	2.000	-10.684	-10.723	15.137
2.000	41.000	2.000	3.000	-40.285	-4.777	40.567
2.000	41.000	2.000	4.000	5.743	-8.715	10.437
2.000	41.000	2.000	5.000	-51.117	1.899	51.152
2.000	41.000	2.000	6.000	14.250	-7.565	16.134
2.000	41.000	2.000	7.000	12.594	-5.802	13.866
2.000	41.000	2.000	8.000	-20.130	2.108	20.240
2.000	41.000	2.000	9.000	35.098	2.446	35.183
2.000	41.000	2.000	10.000	0.174	-8.016	8.018
2.000	41.000	2.000	1.000	-8.706	-2.322	9.010
2.000	41.000	2.000	2.000	14.689	9.930	17.731
2.000	41.000	2.000	3.000	12.231	4.756	13.124
2.000	41.000	2.000	4.000	-34.227	-5.674	34.694
2.000	41.000	2.000	5.000	-11.528	2.377	11.770
2.000	41.000	2.000	6.000	-30.011	-0.798	30.021
2.000	41.000	2.000	7.000	3.496	-8.416	9.113
2.000	41.000	2.000	8.000	-43.211	-2.423	43.279
2.000	41.000	2.000	9.000	-33.735	-4.502	34.034
2.000	41.000	2.000	10.000	-30.286	5.850	30.846
2.000	41.000	2.000	1.000	55.834	7.374	56.319
2.000	41.000	2.000	2.000	-15.265	-5.823	16.338
2.000	41.000	2.000	3.000	-20.139	-1.216	20.176
2.000	41.000	2.000	4.000	44.473	-0.806	44.480
2.000	41.000	2.000	5.000	1.654	-2.937	3.371
2.000	41.000	2.000	6.000	23.445	-5.342	24.046
2.000	41.000	2.000	7.000	-37.155	-4.199	37.392
2.000	41.000	2.000	8.000	-30.012	-1.286	30.040
2.000	41.000	2.000	9.000	-2.457	-4.978	5.552
2.000	41.000	2.000	10.000	9.106	5.547	10.662
2.000	41.000	2.000	1.000	20.399	-11.101	23.224
2.000	41.000	2.000	2.000	-22.118	-9.910	24.237
2.000	41.000	2.000	3.000	12.712	1.822	12.842
2.000	41.000	2.000	4.000	-13.688	-1.136	13.735
2.000	41.000	2.000	5.000	-1.188	-5.471	5.598
2.000	41.000	2.000	6.000	12.419	1.726	12.538
2.000	41.000	2.000	7.000	6.046	-5.197	7.973
2.000	41.000	2.000	8.000	35.183	-2.051	35.243
2.000	41.000	2.000	9.000	-34.604	-0.687	34.611
2.000	41.000	2.000	10.000	29.334	3.634	29.558
2.000	41.000	2.000	1.000	-9.007	-5.156	10.378
2.000	41.000	2.000	2.000	29.612	-1.938	29.676
2.000	41.000	2.000	3.000	41.843	2.623	41.925
2.000	41.000	2.000	4.000	-37.639	-2.145	37.700
2.000	41.000	2.000	5.000	-42.823	-3.402	42.958
2.000	41.000	2.000	6.000	-18.171	3.764	18.556
2.000	41.000	2.000	7.000	2.142	-3.036	3.716
2.000	41.000	2.000	8.000	6.744	-0.214	6.747
2.000	41.000	2.000	9.000	17.008	0.051	17.008
2.000	41.000	2.000	10.000	-18.875	-3.467	19.191
2.000	41.000	2.000	1.000	39.173	-8.709	40.129
2.000	41.000	2.000	2.000	13.486	-1.308	13.549
2.000	41.000	2.000	3.000	-10.083	-5.349	11.413
2.000	41.000	2.000	4.000	-21.217	-2.092	21.320
2.000	41.000	2.000	5.000	-16.899	3.956	17.356
2.000	41.000	2.000	6.000	-37.541	-2.146	37.602
2.000	41.000	2.000	7.000	-3.805	2.747	4.693
2.000	41.000	2.000	8.000	-8.037	-7.896	11.266
2.000	41.000	2.000	9.000	-32.359	-1.671	32.402
2.000	41.000	2.000	10.000	-18.885	-7.084	20.170
2.000	41.000	2.000	1.000	19.452	-0.053	19.452
2.000	41.000	2.000	2.000	27.853	-1.738	27.907
2.000	41.000	2.000	3.000	-37.744	-5.077	38.084
2.000	41.000	2.000	4.000	24.142	-0.652	24.151
2.000	41.000	2.000	5.000	23.582	8.928	25.215
2.000	41.000	2.000	6.000	-7.591	12.337	14.485
2.000	41.000	2.000	7.000	-10.568	-4.272	11.399
2.000	41.000	2.000	8.000	-2.564	-8.204	8.595
2.000	41.000	2.000	9.000	8.769	-10.483	13.667
2.000	41.000	2.000	10.000	20.301	-11.101	23.138
