Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	48.000	2.000	1.000	81.061	-11.461	81.867
2.000	48.000	2.000	2.000	-0.871	-14.071	14.098
2.000	48.000	2.000	3.000	24.653	-12.375	27.584
2.000	48.000	2.000	4.000	24.408	-20.096	31.617
2.000	48.000	2.000	5.000	13.669	-18.073	22.660
2.000	48.000	2.000	6.000	36.327	-21.246	42.084
2.000	48.000	2.000	7.000	-8.476	-10.992	13.881
2.000	48.000	2.000	8.000	11.720	-17.083	20.717
2.000	48.000	2.000	9.000	-43.644	-7.446	44.275
2.000	48.000	2.000	10.000	25.566	-22.547	34.088
2.000	48.000	2.000	1.000	-10.163	-14.892	18.029
2.000	48.000	2.000	2.000	26.577	-17.177	31.645
2.000	48.000	2.000	3.000	-8.075	-24.778	26.060
2.000	48.000	2.000	4.000	16.966	-6.754	18.261
2.000	48.000	2.000	5.000	-12.905	-15.754	20.365
2.000	48.000	2.000	6.000	-19.146	-13.271	23.295
2.000	48.000	2.000	7.000	4.671	-18.700	19.275
2.000	48.000	2.000	8.000	33.099	-21.519	39.480
2.000	48.000	2.000	9.000	-54.956	-3.171	55.048
2.000	48.000	2.000	10.000	-0.514	-19.449	19.456
2.000	48.000	2.000	1.000	17.434	-25.428	30.831
2.000	48.000	2.000	2.000	1.468	-15.161	15.232
2.000	48.000	2.000	3.000	29.001	-20.320	35.412
2.000	48.000	2.000	4.000	-15.483	-21.505	26.499
2.000	48.000	2.000	5.000	8.202	-16.865	18.754
2.000	48.000	2.000	6.000	18.047	-21.326	27.937
2.000	48.000	2.000	7.000	4.238	-9.900	10.769
2.000	48.000	2.000	8.000	29.810	-16.122	33.890
2.000	48.000	2.000	9.000	-26.165	-10.392	28.153
2.000	48.000	2.000	10.000	-22.810	-5.427	23.447
2.000	48.000	2.000	1.000	7.854	-10.020	12.732
2.000	48.000	2.000	2.000	25.427	-13.651	28.859
2.000	48.000	2.000	3.000	11.384	-23.826	26.406
2.000	48.000	2.000	4.000	-6.750	-16.282	17.626
2.000	48.000	2.000	5.000	-52.556	-10.029	53.504
2.000	48.000	2.000	6.000	2.199	-7.834	8.137
2.000	48.000	2.000	7.000	-28.359	-1.776	28.415
2.000	48.000	2.000	8.000	-21.428	-18.633	28.396
2.000	48.000	2.000	9.000	25.468	-22.644	34.079
2.000	48.000	2.000	10.000	11.347	-14.148	18.136
2.000	48.000	2.000	1.000	-0.839	-8.988	9.027
2.000	48.000	2.000	2.000	19.236	-18.695	26.824
2.000	48.000	2.000	3.000	5.192	-13.718	14.668
2.000	48.000	2.000	4.000	-6.802	-9.048	11.320
2.000	48.000	2.000	5.000	-0.194	-15.248	15.249
2.000	48.000	2.000	6.000	15.920	-17.598	23.731
2.000	48.000	2.000	7.000	-17.486	-13.575	22.136
2.000	48.000	2.000	8.000	4.525	-26.422	26.806
2.000	48.000	2.000	9.000	21.857	-21.644	30.760
2.000	48.000	2.000	10.000	-18.526	-7.996	20.178
2.000	48.000	2.000	1.000	90.000	-3.473	90.067
2.000	48.000	2.000	2.000	21.370	-21.445	30.275
2.000	48.000	2.000	3.000	10.558	-15.316	18.602
2.000	48.000	2.000	4.000	-12.666	-8.913	15.488
2.000	48.000	2.000	5.000	56.166	-21.959	60.306
2.000	48.000	2.000	6.000	8.304	-16.182	18.188
2.000	48.000	2.000	7.000	33.002	-21.421	39.345
2.000	48.000	2.000	8.000	-23.935	-13.240	27.353
2.000	48.000	2.000	9.000	-33.174	-5.655	33.652
2.000	48.000	2.000	10.000	-8.209	-15.100	17.187
2.000	48.000	2.000	1.000	20.359	-11.175	23.224
2.000	48.000	2.000	2.000	-12.806	-15.461	20.076
2.000	48.000	2.000	3.000	-17.495	-15.041	23.072
2.000	48.000	2.000	4.000	3.505	-17.617	17.963
2.000	48.000	2.000	5.000	-8.093	-12.265	14.695
2.000	48.000	2.000	6.000	-11.122	-12.051	16.399
2.000	48.000	2.000	7.000	-8.584	-12.653	15.291
2.000	48.000	2.000	8.000	17.941	-7.152	19.314
2.000	48.000	2.000	9.000	-24.885	-8.836	26.407
2.000	48.000	2.000	10.000	-11.160	-18.013	21.190
2.000	48.000	2.000	1.000	13.143	-8.392	15.594
2.000	48.000	2.000	2.000	-21.566	-9.541	23.582
2.000	48.000	2.000	3.000	-3.221	-14.642	14.992
2.000	48.000	2.000	4.000	-3.979	-10.923	11.625
2.000	48.000	2.000	5.000	-5.567	-14.725	15.743
2.000	48.000	2.000	6.000	-4.565	-10.822	11.745
2.000	48.000	2.000	7.000	1.949	-16.435	16.550
2.000	48.000	2.000	8.000	-42.758	-6.376	43.231
2.000	48.000	2.000	9.000	-3.616	-15.324	15.745
2.000	48.000	2.000	10.000	33.539	-13.897	36.304
2.000	48.000	2.000	1.000	-49.984	-5.255	50.260
2.000	48.000	2.000	2.000	-2.257	-16.799	16.950
2.000	48.000	2.000	3.000	-5.878	-17.460	18.423
2.000	48.000	2.000	4.000	-9.289	-15.875	18.393
2.000	48.000	2.000	5.000	31.985	-12.226	34.242
2.000	48.000	2.000	6.000	8.007	-16.864	18.668
2.000	48.000	2.000	7.000	12.103	-18.258	21.906
2.000	48.000	2.000	8.000	40.940	-18.245	44.822
2.000	48.000	2.000	9.000	-42.644	-3.933	42.826
2.000	48.000	2.000	10.000	-35.517	-5.249	35.903
