Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	17.000	2.000	1.000	70.557	-8.002	71.009
2.000	17.000	2.000	2.000	-15.345	-14.061	20.813
2.000	17.000	2.000	3.000	27.407	-11.766	29.826
2.000	17.000	2.000	4.000	13.838	-22.893	26.750
2.000	17.000	2.000	5.000	-31.609	-11.453	33.620
2.000	17.000	2.000	6.000	-10.935	-14.568	18.215
2.000	17.000	2.000	7.000	38.508	-5.434	38.890
2.000	17.000	2.000	8.000	-26.691	-6.961	27.584
2.000	17.000	2.000	9.000	23.260	-19.986	30.667
2.000	17.000	2.000	10.000	4.433	-20.996	21.459
2.000	17.000	2.000	1.000	23.160	-20.476	30.914
2.000	17.000	2.000	2.000	5.993	-23.452	24.206
2.000	17.000	2.000	3.000	23.340	-24.888	34.120
2.000	17.000	2.000	4.000	49.281	-8.611	50.027
2.000	17.000	2.000	5.000	34.217	-26.202	43.097
2.000	17.000	2.000	6.000	-22.112	-14.723	26.565
2.000	17.000	2.000	7.000	19.274	-10.854	22.120
2.000	17.000	2.000	8.000	27.951	-23.925	36.792
2.000	17.000	2.000	9.000	-31.328	-14.983	34.727
2.000	17.000	2.000	10.000	54.332	-21.374	58.385
2.000	17.000	2.000	1.000	10.978	-27.490	29.601
2.000	17.000	2.000	2.000	10.210	-22.978	25.144
2.000	17.000	2.000	3.000	-11.293	-5.057	12.373
2.000	17.000	2.000	4.000	22.401	-13.513	26.161
2.000	17.000	2.000	5.000	25.988	-24.604	35.787
2.000	17.000	2.000	6.000	17.956	-22.712	28.952
2.000	17.000	2.000	7.000	-12.889	-12.796	18.162
2.000	17.000	2.000	8.000	8.675	-13.659	16.181
2.000	17.000	2.000	9.000	-24.167	-13.637	27.749
2.000	17.000	2.000	10.000	8.059	-21.401	22.868
2.000	17.000	2.000	1.000	-22.307	-14.526	26.620
2.000	17.000	2.000	2.000	20.518	-18.996	27.961
2.000	17.000	2.000	3.000	-8.460	-8.008	11.649
2.000	17.000	2.000	4.000	13.834	-23.873	27.592
2.000	17.000	2.000	5.000	-28.342	-2.544	28.456
2.000	17.000	2.000	6.000	19.434	-20.756	28.434
2.000	17.000	2.000	7.000	-15.127	-7.984	17.104
2.000	17.000	2.000	8.000	6.616	-13.749	15.258
2.000	17.000	2.000	9.000	11.998	-16.710	20.571
2.000	17.000	2.000	10.000	-6.892	-8.014	10.570
2.000	17.000	2.000	1.000	-37.079	-5.943	37.553
2.000	17.000	2.000	2.000	22.308	-12.140	25.397
2.000	17.000	2.000	3.000	-2.205	-13.325	13.506
2.000	17.000	2.000	4.000	-10.836	-14.176	17.843
2.000	17.000	2.000	5.000	0.827	-15.297	15.319
2.000	17.000	2.000	6.000	47.985	-14.488	50.124
2.000	17.000	2.000	7.000	-5.656	-18.606	19.447
2.000	17.000	2.000	8.000	-12.776	-8.581	15.390
2.000	17.000	2.000	9.000	-4.463	-14.101	14.790
2.000	17.000	2.000	10.000	2.782	-16.676	16.907
2.000	17.000	2.000	1.000	-4.556	-12.728	13.519
2.000	17.000	2.000	2.000	36.437	-8.760	37.476
2.000	17.000	2.000	3.000	-18.949	-7.578	20.408
2.000	17.000	2.000	4.000	-6.436	-17.525	18.670
2.000	17.000	2.000	5.000	23.677	-13.027	27.024
2.000	17.000	2.000	6.000	8.041	0.461	8.054
2.000	17.000	2.000	7.000	-35.749	9.444	36.975
2.000	17.000	2.000	8.000	25.620	8.926	27.130
2.000	17.000	2.000	9.000	16.740	-6.629	18.005
2.000	17.000	2.000	10.000	-8.366	-9.087	12.352
2.000	17.000	2.000	1.000	-26.568	-0.001	26.568
2.000	17.000	2.000	2.000	39.379	-8.673	40.323
2.000	17.000	2.000	3.000	-4.746	-10.963	11.946
2.000	17.000	2.000	4.000	34.474	17.325	38.582
2.000	17.000	2.000	5.000	-15.460	-18.865	24.391
2.000	17.000	2.000	6.000	17.698	-12.809	21.847
2.000	17.000	2.000	7.000	-26.471	-0.296	26.472
2.000	17.000	2.000	8.000	28.307	-7.064	29.175
2.000	17.000	2.000	9.000	13.418	-3.676	13.912
2.000	17.000	2.000	10.000	-7.593	-12.227	14.393
2.000	17.000	2.000	1.000	-14.124	-1.811	14.239
2.000	17.000	2.000	2.000	-22.050	2.139	22.154
2.000	17.000	2.000	3.000	8.525	-1.109	8.597
2.000	17.000	2.000	4.000	-42.770	-7.295	43.388
2.000	17.000	2.000	5.000	6.693	-19.730	20.834
2.000	17.000	2.000	6.000	10.241	-14.449	17.710
2.000	17.000	2.000	7.000	27.736	-2.258	27.828
2.000	17.000	2.000	8.000	25.763	-5.584	26.361
2.000	17.000	2.000	9.000	-38.153	-4.567	38.425
2.000	17.000	2.000	10.000	-23.237	-0.700	23.248
2.000	17.000	2.000	1.000	-26.495	-6.864	27.369
2.000	17.000	2.000	2.000	12.362	-24.260	27.228
2.000	17.000	2.000	3.000	19.147	8.361	20.894
2.000	17.000	2.000	4.000	-14.932	-8.279	17.073
2.000	17.000	2.000	5.000	-21.492	-6.000	22.314
2.000	17.000	2.000	6.000	0.736	-13.336	13.356
2.000	17.000	2.000	7.000	32.735	-2.374	32.821
2.000	17.000	2.000	8.000	-12.293	-10.445	16.131
2.000	17.000	2.000	9.000	-9.840	-9.964	14.004
2.000	17.000	2.000	10.000	-20.900	-5.022	21.495
2.000	17.000	2.000	1.000	3.483	-12.659	13.130
