Grp	sID	Phase	Trial	S/L	L/R	
2.000	61.000	2.000	1.000	3.972	-19.137
2.000	61.000	2.000	2.000	20.269	-15.323
2.000	61.000	2.000	3.000	-37.866	-3.471
2.000	61.000	2.000	4.000	28.311	-8.478
2.000	61.000	2.000	5.000	8.859	-23.179
2.000	61.000	2.000	6.000	19.866	-15.596
2.000	61.000	2.000	7.000	-47.179	-2.149
2.000	61.000	2.000	8.000	-14.427	-5.564
2.000	61.000	2.000	9.000	-32.627	-2.158
2.000	61.000	2.000	10.000	-40.135	-1.898
2.000	61.000	2.000	1.000	28.116	-18.724
2.000	61.000	2.000	2.000	-28.269	-5.002
2.000	61.000	2.000	3.000	-15.657	-4.724
2.000	61.000	2.000	4.000	-18.613	-7.318
2.000	61.000	2.000	5.000	1.174	-14.316
2.000	61.000	2.000	6.000	-18.738	-7.898
2.000	61.000	2.000	7.000	-38.256	15.007
2.000	61.000	2.000	8.000	25.402	-8.046
2.000	61.000	2.000	9.000	-10.511	-5.360
2.000	61.000	2.000	10.000	-24.353	5.457
2.000	61.000	2.000	1.000	-38.135	17.541
2.000	61.000	2.000	2.000	-17.555	-5.610
2.000	61.000	2.000	3.000	-46.446	9.146
2.000	61.000	2.000	4.000	27.569	-11.763
2.000	61.000	2.000	5.000	7.230	0.046
2.000	61.000	2.000	6.000	-33.861	-1.415
2.000	61.000	2.000	7.000	1.657	-10.334
2.000	61.000	2.000	8.000	-0.297	-4.186
2.000	61.000	2.000	9.000	-4.849	-3.383
2.000	61.000	2.000	10.000	-21.713	-2.678
2.000	61.000	2.000	1.000	22.260	-6.334
2.000	61.000	2.000	2.000	0.014	10.548
2.000	61.000	2.000	3.000	4.237	-11.531
2.000	61.000	2.000	4.000	-6.390	-4.970
2.000	61.000	2.000	5.000	-13.471	-10.102
2.000	61.000	2.000	6.000	14.473	4.487
2.000	61.000	2.000	7.000	19.221	3.675
2.000	61.000	2.000	8.000	-38.506	-0.510
2.000	61.000	2.000	9.000	-31.114	-3.207
2.000	61.000	2.000	10.000	32.283	9.304
2.000	61.000	2.000	1.000	-6.153	-2.051
2.000	61.000	2.000	2.000	-0.756	-5.629
2.000	61.000	2.000	3.000	-17.870	-6.084
2.000	61.000	2.000	4.000	10.033	-2.626
2.000	61.000	2.000	5.000	8.548	-9.197
2.000	61.000	2.000	6.000	6.557	-7.930
2.000	61.000	2.000	7.000	46.604	-14.037
2.000	61.000	2.000	8.000	6.743	0.070
2.000	61.000	2.000	9.000	32.288	-9.058
2.000	61.000	2.000	10.000	17.453	7.569
2.000	61.000	2.000	1.000	-42.752	-1.480
2.000	61.000	2.000	2.000	5.912	-5.067
2.000	61.000	2.000	3.000	-27.281	7.550
2.000	61.000	2.000	4.000	17.077	-6.478
2.000	61.000	2.000	5.000	-4.775	-10.028
2.000	61.000	2.000	6.000	-4.766	-9.833
2.000	61.000	2.000	7.000	15.972	-13.262
2.000	61.000	2.000	8.000	-22.956	-6.232
2.000	61.000	2.000	9.000	5.044	-13.035
2.000	61.000	2.000	10.000	-23.202	9.114
2.000	61.000	2.000	1.000	28.084	-9.151
2.000	61.000	2.000	2.000	19.323	-10.589
2.000	61.000	2.000	3.000	0.343	-0.993
2.000	61.000	2.000	4.000	1.155	-4.450
2.000	61.000	2.000	5.000	1.559	-10.330
2.000	61.000	2.000	6.000	8.413	-3.819
2.000	61.000	2.000	7.000	16.552	-11.337
2.000	61.000	2.000	8.000	-13.049	-3.285
2.000	61.000	2.000	9.000	6.107	-3.026
2.000	61.000	2.000	10.000	-21.736	-3.165
2.000	61.000	2.000	1.000	31.931	-2.204
2.000	61.000	2.000	2.000	-20.079	-3.244
2.000	61.000	2.000	3.000	40.432	-14.427
2.000	61.000	2.000	4.000	-25.119	-0.367
2.000	61.000	2.000	5.000	6.687	-5.202
2.000	61.000	2.000	6.000	38.116	-13.828
2.000	61.000	2.000	7.000	-15.935	-4.418
2.000	61.000	2.000	8.000	30.019	-11.587
2.000	61.000	2.000	9.000	-8.070	-1.276
2.000	61.000	2.000	10.000	39.727	-14.882
2.000	61.000	2.000	1.000	5.318	-11.388
2.000	61.000	2.000	2.000	-34.608	-2.747
2.000	61.000	2.000	3.000	1.573	-14.139
2.000	61.000	2.000	4.000	-13.392	-6.395
2.000	61.000	2.000	5.000	-1.587	-8.715
2.000	61.000	2.000	6.000	0.343	-7.146
2.000	61.000	2.000	7.000	13.912	-13.457
2.000	61.000	2.000	8.000	-32.195	-3.350
2.000	61.000	2.000	9.000	-34.715	-2.937
2.000	61.000	2.000	10.000	-8.585	-10.042
2.000	61.000	2.000	1.000	-10.687	-9.063
