Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	57.000	2.000	1.000	90.000	-26.211	93.739
1.000	57.000	2.000	2.000	58.359	-2.238	58.402
1.000	57.000	2.000	3.000	-45.440	-6.535	45.908
1.000	57.000	2.000	4.000	22.578	0.628	22.587
1.000	57.000	2.000	5.000	12.839	-18.548	22.558
1.000	57.000	2.000	6.000	20.074	-19.512	27.995
1.000	57.000	2.000	7.000	40.791	-16.542	44.018
1.000	57.000	2.000	8.000	43.010	-0.409	43.011
1.000	57.000	2.000	9.000	-71.938	-2.381	71.977
1.000	57.000	2.000	10.000	34.337	-14.990	37.466
1.000	57.000	2.000	1.000	77.818	-6.112	78.058
1.000	57.000	2.000	2.000	-28.522	-11.000	30.570
1.000	57.000	2.000	3.000	34.029	-6.780	34.697
1.000	57.000	2.000	4.000	-29.399	-12.468	31.934
1.000	57.000	2.000	5.000	-29.985	-12.665	32.550
1.000	57.000	2.000	6.000	-17.467	-16.161	23.796
1.000	57.000	2.000	7.000	-49.264	-0.580	49.267
1.000	57.000	2.000	8.000	4.012	-2.632	4.799
1.000	57.000	2.000	9.000	-11.411	-13.999	18.060
1.000	57.000	2.000	10.000	33.941	-12.058	36.019
1.000	57.000	2.000	1.000	16.437	-8.571	18.538
1.000	57.000	2.000	2.000	-20.613	-6.098	21.497
1.000	57.000	2.000	3.000	15.947	-7.888	17.792
1.000	57.000	2.000	4.000	4.614	-10.841	11.782
1.000	57.000	2.000	5.000	-2.719	-9.975	10.339
1.000	57.000	2.000	6.000	-15.236	-6.577	16.595
1.000	57.000	2.000	7.000	38.554	-22.508	44.643
1.000	57.000	2.000	8.000	2.766	-15.928	16.166
1.000	57.000	2.000	9.000	49.392	-16.037	51.930
1.000	57.000	2.000	10.000	-26.575	-6.696	27.405
1.000	57.000	2.000	1.000	48.519	-19.655	52.349
1.000	57.000	2.000	2.000	-43.590	-2.622	43.669
1.000	57.000	2.000	3.000	9.320	-18.555	20.764
1.000	57.000	2.000	4.000	-32.726	-10.422	34.345
1.000	57.000	2.000	5.000	4.332	-16.609	17.165
1.000	57.000	2.000	6.000	15.380	-18.446	24.017
