Grp	sID	Phase	Trial	S/L	L/R	RE	
2.000	55.000	2.000	1.000	-49.941	-2.535	50.005
2.000	55.000	2.000	2.000	-0.469	-6.086	6.104
2.000	55.000	2.000	3.000	-62.506	-1.206	62.518
2.000	55.000	2.000	4.000	-2.043	-4.914	5.322
2.000	55.000	2.000	5.000	-22.641	-7.736	23.926
2.000	55.000	2.000	6.000	18.009	-13.968	22.791
2.000	55.000	2.000	7.000	-7.031	-9.642	11.933
2.000	55.000	2.000	8.000	-33.147	-6.105	33.705
2.000	55.000	2.000	9.000	20.855	-14.154	25.205
2.000	55.000	2.000	10.000	-29.421	-5.307	29.896
2.000	55.000	2.000	1.000	-10.846	-12.993	16.925
2.000	55.000	2.000	2.000	20.743	-10.229	23.128
2.000	55.000	2.000	3.000	9.755	-11.054	14.743
2.000	55.000	2.000	4.000	-15.566	-10.458	18.753
2.000	55.000	2.000	5.000	45.674	-11.612	47.127
2.000	55.000	2.000	6.000	-40.522	-1.814	40.563
2.000	55.000	2.000	7.000	34.793	-14.889	37.845
2.000	55.000	2.000	8.000	33.186	-4.787	33.530
2.000	55.000	2.000	9.000	-17.538	-7.619	19.122
2.000	55.000	2.000	10.000	5.741	-13.816	14.962
2.000	55.000	2.000	1.000	22.189	-3.060	22.399
2.000	55.000	2.000	2.000	-2.212	-12.569	12.762
2.000	55.000	2.000	3.000	-17.305	-18.021	24.984
2.000	55.000	2.000	4.000	0.611	-6.278	6.308
2.000	55.000	2.000	5.000	57.904	-1.656	57.928
2.000	55.000	2.000	6.000	-6.735	-10.034	12.085
2.000	55.000	2.000	7.000	-26.288	-3.137	26.475
2.000	55.000	2.000	8.000	1.105	-6.963	7.051
2.000	55.000	2.000	9.000	-2.004	-15.807	15.933
2.000	55.000	2.000	10.000	22.100	-5.710	22.826
2.000	55.000	2.000	1.000	-11.152	-9.853	14.881
2.000	55.000	2.000	2.000	18.673	-7.587	20.155
2.000	55.000	2.000	3.000	13.172	-6.135	14.531
2.000	55.000	2.000	4.000	10.841	-13.013	16.937
2.000	55.000	2.000	5.000	40.949	-7.605	41.649
2.000	55.000	2.000	6.000	-36.601	-0.819	36.610
2.000	55.000	2.000	7.000	10.645	-13.013	16.813
2.000	55.000	2.000	8.000	12.981	-7.706	15.096
2.000	55.000	2.000	9.000	-72.223	-0.849	72.228
2.000	55.000	2.000	10.000	-60.654	2.039	60.688
2.000	55.000	2.000	1.000	5.721	-8.124	9.937
2.000	55.000	2.000	2.000	40.055	-4.664	40.326
2.000	55.000	2.000	3.000	11.873	0.239	11.876
2.000	55.000	2.000	4.000	-27.572	-0.982	27.589
2.000	55.000	2.000	5.000	20.508	0.368	20.512
2.000	55.000	2.000	6.000	-29.535	-0.891	29.548
2.000	55.000	2.000	7.000	-4.892	-4.139	6.408
2.000	55.000	2.000	8.000	-6.269	-3.163	7.022
2.000	55.000	2.000	9.000	8.201	-15.476	17.514
2.000	55.000	2.000	10.000	-9.016	-3.271	9.591
2.000	55.000	2.000	1.000	-69.878	2.006	69.907
2.000	55.000	2.000	2.000	11.193	-1.726	11.326
2.000	55.000	2.000	3.000	-31.499	-0.408	31.502
2.000	55.000	2.000	4.000	52.210	-0.794	52.216
2.000	55.000	2.000	5.000	48.050	9.692	49.018
2.000	55.000	2.000	6.000	-0.237	-15.898	15.900
2.000	55.000	2.000	7.000	-4.498	-4.530	6.384
2.000	55.000	2.000	8.000	35.232	-0.560	35.236
2.000	55.000	2.000	9.000	-18.729	-3.895	19.130
2.000	55.000	2.000	10.000	43.963	0.158	43.963
