Grp	sID	Phase	Trial	S/L	L/R	
1.000	64.000	2.000	1.000	132.000	-5.636
1.000	64.000	2.000	2.000	-47.371	-9.158
1.000	64.000	2.000	3.000	-2.095	-15.353
1.000	64.000	2.000	4.000	6.923	-18.779
1.000	64.000	2.000	5.000	-4.587	-10.201
1.000	64.000	2.000	6.000	3.259	-23.503
1.000	64.000	2.000	7.000	50.046	-24.507
1.000	64.000	2.000	8.000	5.638	-17.132
1.000	64.000	2.000	9.000	33.145	-23.795
1.000	64.000	2.000	10.000	37.295	-8.910
1.000	64.000	2.000	1.000	-1.053	-12.022
1.000	64.000	2.000	2.000	-11.291	-13.685
1.000	64.000	2.000	3.000	-28.649	-6.337
1.000	64.000	2.000	4.000	76.714	-15.357
1.000	64.000	2.000	5.000	-7.509	-11.011
1.000	64.000	2.000	6.000	19.738	-20.997
1.000	64.000	2.000	7.000	40.915	-9.558
1.000	64.000	2.000	8.000	6.109	-5.506
1.000	64.000	2.000	9.000	39.445	0.779
1.000	64.000	2.000	10.000	-9.667	-19.919
1.000	64.000	2.000	1.000	24.581	-16.945
1.000	64.000	2.000	2.000	-31.311	-13.590
1.000	64.000	2.000	3.000	-24.090	-22.991
1.000	64.000	2.000	4.000	29.039	-23.347
1.000	64.000	2.000	5.000	20.731	-22.647
1.000	64.000	2.000	6.000	16.852	-5.596
1.000	64.000	2.000	7.000	-2.334	-10.863
1.000	64.000	2.000	8.000	40.450	-2.043
1.000	64.000	2.000	9.000	-23.964	-15.959
1.000	64.000	2.000	10.000	4.052	-4.843
1.000	64.000	2.000	1.000	28.352	-23.061
1.000	64.000	2.000	2.000	18.229	-6.559
1.000	64.000	2.000	3.000	-30.252	-12.114
1.000	64.000	2.000	4.000	-0.355	-13.578
1.000	64.000	2.000	5.000	61.196	3.533
1.000	64.000	2.000	6.000	11.146	-21.179
1.000	64.000	2.000	7.000	11.938	-2.421
1.000	64.000	2.000	8.000	-24.818	-8.545
1.000	64.000	2.000	9.000	-1.980	-17.109
1.000	64.000	2.000	10.000	23.584	-4.943
1.000	64.000	2.000	1.000	15.722	-19.767
1.000	64.000	2.000	2.000	53.378	-25.646
1.000	64.000	2.000	3.000	0.113	-11.425
1.000	64.000	2.000	4.000	0.213	-11.717
1.000	64.000	2.000	5.000	-21.119	-17.298
1.000	64.000	2.000	6.000	-7.470	-24.878
1.000	64.000	2.000	7.000	-2.406	-3.637
1.000	64.000	2.000	8.000	6.766	-12.726
1.000	64.000	2.000	9.000	-9.667	-19.919
1.000	64.000	2.000	10.000	16.212	-29.821
1.000	64.000	2.000	1.000	-8.720	-7.020
1.000	64.000	2.000	2.000	6.112	-5.799
1.000	64.000	2.000	3.000	-3.906	-9.902
1.000	64.000	2.000	4.000	22.335	-16.967
1.000	64.000	2.000	5.000	-28.085	-13.949
1.000	64.000	2.000	6.000	30.784	-22.060
1.000	64.000	2.000	7.000	-3.572	-24.059
1.000	64.000	2.000	8.000	2.800	-16.574
1.000	64.000	2.000	9.000	-2.175	-17.111
1.000	64.000	2.000	10.000	-3.906	-9.902
1.000	64.000	2.000	1.000	1.501	-23.520
1.000	64.000	2.000	2.000	-1.928	-12.421
1.000	64.000	2.000	3.000	-4.074	-22.599
1.000	64.000	2.000	4.000	7.286	-25.905
1.000	64.000	2.000	5.000	0.034	-13.379
1.000	64.000	2.000	6.000	15.063	-12.352
1.000	64.000	2.000	7.000	16.296	-8.629
1.000	64.000	2.000	8.000	36.778	-5.985
1.000	64.000	2.000	9.000	5.707	-14.299
1.000	64.000	2.000	10.000	58.088	-27.943
1.000	64.000	2.000	1.000	-28.249	-7.212
1.000	64.000	2.000	2.000	-30.028	-15.042
1.000	64.000	2.000	3.000	-4.219	-7.854
1.000	64.000	2.000	4.000	7.539	-11.840
1.000	64.000	2.000	5.000	11.437	-20.981
1.000	64.000	2.000	6.000	-10.193	-6.155
1.000	64.000	2.000	7.000	21.970	-9.647
1.000	64.000	2.000	8.000	2.876	-14.425
1.000	64.000	2.000	9.000	1.804	-14.631
1.000	64.000	2.000	10.000	-3.132	-9.211
