Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	42.000	2.000	1.000	8.649	-21.413	23.093
1.000	42.000	2.000	2.000	32.216	-14.032	35.140
1.000	42.000	2.000	3.000	-5.365	-9.501	10.911
1.000	42.000	2.000	4.000	22.318	-5.342	22.949
1.000	42.000	2.000	5.000	-28.169	-5.725	28.745
1.000	42.000	2.000	6.000	-23.683	2.600	23.826
1.000	42.000	2.000	7.000	-56.059	-3.818	56.189
1.000	42.000	2.000	8.000	19.595	-14.348	24.286
1.000	42.000	2.000	9.000	-14.960	-5.995	16.116
1.000	42.000	2.000	10.000	-27.084	-11.007	29.235
1.000	42.000	2.000	1.000	7.662	-16.816	18.479
1.000	42.000	2.000	2.000	19.208	-16.991	25.645
1.000	42.000	2.000	3.000	57.444	-4.986	57.660
1.000	42.000	2.000	4.000	5.889	-10.263	11.833
1.000	42.000	2.000	5.000	1.985	-15.652	15.777
1.000	42.000	2.000	6.000	5.581	-2.045	5.944
1.000	42.000	2.000	7.000	-53.220	-4.791	53.435
1.000	42.000	2.000	8.000	17.813	-2.708	18.017
1.000	42.000	2.000	9.000	-25.817	-8.265	27.107
1.000	42.000	2.000	10.000	34.262	-8.941	35.409
1.000	42.000	2.000	1.000	17.917	-6.132	18.937
1.000	42.000	2.000	2.000	10.281	-3.798	10.960
1.000	42.000	2.000	3.000	15.566	-4.865	16.309
1.000	42.000	2.000	4.000	19.777	-7.010	20.983
1.000	42.000	2.000	5.000	-20.550	1.138	20.581
1.000	42.000	2.000	6.000	-25.629	-3.470	25.863
1.000	42.000	2.000	7.000	-20.840	-0.722	20.852
1.000	42.000	2.000	8.000	9.885	-1.548	10.006
1.000	42.000	2.000	9.000	-2.525	-10.670	10.964
1.000	42.000	2.000	10.000	-14.367	-9.321	17.126
1.000	42.000	2.000	1.000	4.903	-6.253	7.947
1.000	42.000	2.000	2.000	-0.380	-6.263	6.274
1.000	42.000	2.000	3.000	2.753	-7.236	7.742
1.000	42.000	2.000	4.000	18.904	-10.827	21.785
1.000	42.000	2.000	5.000	-0.969	-5.188	5.277
1.000	42.000	2.000	6.000	-9.091	-4.908	10.331
1.000	42.000	2.000	7.000	34.143	2.703	34.250
1.000	42.000	2.000	8.000	22.420	-7.396	23.608
1.000	42.000	2.000	9.000	8.634	-13.389	15.932
1.000	42.000	2.000	10.000	0.209	-7.632	7.634
1.000	42.000	2.000	1.000	-21.617	-3.855	21.958
1.000	42.000	2.000	2.000	-19.549	-11.581	22.721
1.000	42.000	2.000	3.000	-0.772	-6.166	6.214
1.000	42.000	2.000	4.000	18.114	-6.915	19.389
1.000	42.000	2.000	5.000	4.226	-10.364	11.193
1.000	42.000	2.000	6.000	-23.491	4.655	23.948
1.000	42.000	2.000	7.000	21.530	-2.212	21.643
1.000	42.000	2.000	8.000	6.837	6.861	9.686
1.000	42.000	2.000	9.000	-4.877	-8.326	9.649
1.000	42.000	2.000	10.000	-29.244	-6.706	30.003
1.000	42.000	2.000	1.000	-1.276	2.052	2.417
1.000	42.000	2.000	2.000	0.978	0.197	0.998
1.000	42.000	2.000	3.000	21.458	-16.498	27.067
1.000	42.000	2.000	4.000	17.614	-0.849	17.634
1.000	42.000	2.000	5.000	19.389	-8.772	21.281
1.000	42.000	2.000	6.000	27.420	-12.965	30.330
1.000	42.000	2.000	7.000	-11.618	-14.306	18.430
1.000	42.000	2.000	8.000	21.156	-12.193	24.419
1.000	42.000	2.000	9.000	-12.701	-10.492	16.474
1.000	42.000	2.000	10.000	-8.906	0.963	8.958
1.000	42.000	2.000	1.000	28.311	-18.834	34.003
1.000	42.000	2.000	2.000	0.311	-9.980	9.985
1.000	42.000	2.000	3.000	-4.090	-11.064	11.796
1.000	42.000	2.000	4.000	21.414	8.062	22.881
1.000	42.000	2.000	5.000	-13.201	-4.524	13.955
1.000	42.000	2.000	6.000	-14.376	-4.331	15.014
1.000	42.000	2.000	7.000	-8.612	0.670	8.638
1.000	42.000	2.000	8.000	47.264	-2.655	47.339
1.000	42.000	2.000	9.000	-1.738	-13.017	13.132
1.000	42.000	2.000	10.000	2.754	-8.018	8.478
1.000	42.000	2.000	1.000	2.374	-14.281	14.477
1.000	42.000	2.000	2.000	-16.032	-8.345	18.074
1.000	42.000	2.000	3.000	33.772	-8.746	34.886
1.000	42.000	2.000	4.000	-3.300	-15.270	15.622
1.000	42.000	2.000	5.000	-8.808	0.865	8.850
1.000	42.000	2.000	6.000	47.928	9.381	48.837
1.000	42.000	2.000	7.000	12.750	-16.807	21.096
1.000	42.000	2.000	8.000	2.069	-7.922	8.188
1.000	42.000	2.000	9.000	33.877	-12.366	36.063
1.000	42.000	2.000	10.000	34.273	-14.909	37.375
1.000	42.000	2.000	1.000	17.134	-6.036	18.166
1.000	42.000	2.000	2.000	-17.500	-8.348	19.389
1.000	42.000	2.000	3.000	23.583	-1.230	23.615
1.000	42.000	2.000	4.000	-48.224	-7.620	48.823
1.000	42.000	2.000	5.000	44.736	-11.368	46.158
1.000	42.000	2.000	6.000	25.771	-21.284	33.424
1.000	42.000	2.000	7.000	21.656	-17.867	28.075
1.000	42.000	2.000	8.000	8.716	-4.290	9.714
1.000	42.000	2.000	9.000	-7.330	-4.710	8.713
1.000	42.000	2.000	10.000	-25.927	-0.927	25.944
1.000	42.000	2.000	1.000	31.825	-14.327	34.901
1.000	42.000	2.000	2.000	8.845	-21.804	23.530
