Grp	sID	Phase	Trial	S/L	L/R	
2.000	62.000	2.000	1.000	15.658	-14.344
2.000	62.000	2.000	2.000	52.823	-9.417
2.000	62.000	2.000	3.000	23.804	-9.654
2.000	62.000	2.000	4.000	46.252	-10.777
2.000	62.000	2.000	5.000	-34.024	-2.874
2.000	62.000	2.000	6.000	-23.536	-3.679
2.000	62.000	2.000	7.000	75.864	-7.698
2.000	62.000	2.000	8.000	-8.545	-8.218
2.000	62.000	2.000	9.000	34.984	-7.421
2.000	62.000	2.000	10.000	-3.445	-7.052
2.000	62.000	2.000	1.000	41.644	-10.964
2.000	62.000	2.000	2.000	-0.208	-6.176
2.000	62.000	2.000	3.000	53.125	-5.104
2.000	62.000	2.000	4.000	-50.108	-5.784
2.000	62.000	2.000	5.000	-6.308	-17.046
2.000	62.000	2.000	6.000	15.249	-22.578
2.000	62.000	2.000	7.000	5.762	-11.383
2.000	62.000	2.000	8.000	-34.529	-10.520
2.000	62.000	2.000	9.000	26.455	-7.307
2.000	62.000	2.000	10.000	-19.908	-3.686
2.000	62.000	2.000	1.000	18.606	-10.820
2.000	62.000	2.000	2.000	1.040	-19.609
2.000	62.000	2.000	3.000	-0.027	-13.725
2.000	62.000	2.000	4.000	-7.861	-9.200
2.000	62.000	2.000	5.000	20.367	-12.392
2.000	62.000	2.000	6.000	79.686	-8.392
2.000	62.000	2.000	7.000	28.896	-12.703
2.000	62.000	2.000	8.000	-17.265	-5.456
2.000	62.000	2.000	9.000	-54.900	-0.088
2.000	62.000	2.000	10.000	1.843	-10.003
2.000	62.000	2.000	1.000	5.373	-9.814
2.000	62.000	2.000	2.000	-7.469	-9.103
2.000	62.000	2.000	3.000	26.344	-14.267
2.000	62.000	2.000	4.000	22.712	-16.515
2.000	62.000	2.000	5.000	-41.092	-7.860
2.000	62.000	2.000	6.000	-2.387	-17.152
2.000	62.000	2.000	7.000	45.073	-11.755
2.000	62.000	2.000	8.000	37.225	-14.680
2.000	62.000	2.000	9.000	15.951	-14.835
2.000	62.000	2.000	10.000	28.594	-16.624
2.000	62.000	2.000	1.000	-7.372	-9.789
2.000	62.000	2.000	2.000	-70.194	-0.156
2.000	62.000	2.000	3.000	52.028	-14.906
2.000	62.000	2.000	4.000	-21.488	-9.369
2.000	62.000	2.000	5.000	-2.766	-10.778
2.000	62.000	2.000	6.000	65.866	-6.894
2.000	62.000	2.000	7.000	-32.366	-7.191
2.000	62.000	2.000	8.000	24.586	-10.538
2.000	62.000	2.000	9.000	7.340	-6.681
2.000	62.000	2.000	10.000	84.594	-5.656
