Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	29.000	2.000	1.000	90.000	22.548	92.782
1.000	29.000	2.000	2.000	103.821	-3.529	103.881
1.000	29.000	2.000	3.000	29.803	-15.784	33.725
1.000	29.000	2.000	4.000	38.921	10.784	40.387
1.000	29.000	2.000	5.000	8.725	-7.059	11.223
1.000	29.000	2.000	6.000	30.489	-12.843	33.084
1.000	29.000	2.000	7.000	-19.117	-5.392	19.863
1.000	29.000	2.000	8.000	54.116	-27.352	60.636
1.000	29.000	2.000	9.000	-19.901	-8.627	21.691
1.000	29.000	2.000	10.000	34.803	-1.765	34.848
1.000	29.000	2.000	1.000	33.431	-15.098	36.682
1.000	29.000	2.000	2.000	-24.411	-7.941	25.670
1.000	29.000	2.000	3.000	27.156	-10.392	29.077
1.000	29.000	2.000	4.000	14.019	-6.274	15.359
1.000	29.000	2.000	5.000	-31.764	-5.686	32.269
1.000	29.000	2.000	6.000	39.607	-14.117	42.048
1.000	29.000	2.000	7.000	-13.529	-9.117	16.315
1.000	29.000	2.000	8.000	26.960	-10.980	29.110
1.000	29.000	2.000	9.000	64.214	-2.843	64.277
1.000	29.000	2.000	10.000	3.137	-16.470	16.766
1.000	29.000	2.000	1.000	19.705	6.078	20.622
1.000	29.000	2.000	2.000	81.763	-13.235	82.827
1.000	29.000	2.000	3.000	-39.607	-4.706	39.885
1.000	29.000	2.000	4.000	52.646	-9.215	53.446
1.000	29.000	2.000	5.000	17.451	8.921	19.599
1.000	29.000	2.000	6.000	-15.882	-9.314	18.411
1.000	29.000	2.000	7.000	-8.431	-2.941	8.929
1.000	29.000	2.000	8.000	54.705	-10.490	55.701
1.000	29.000	2.000	9.000	24.509	-14.117	28.284
1.000	29.000	2.000	10.000	80.782	-24.607	84.447
1.000	29.000	2.000	1.000	-51.175	-1.471	51.196
1.000	29.000	2.000	2.000	-2.549	-12.353	12.613
1.000	29.000	2.000	3.000	30.784	7.941	31.791
1.000	29.000	2.000	4.000	-32.548	-7.157	33.326
1.000	29.000	2.000	5.000	-10.588	-6.372	12.358
1.000	29.000	2.000	6.000	20.882	-3.333	21.146
1.000	29.000	2.000	7.000	-53.528	-2.059	53.568
1.000	29.000	2.000	8.000	3.137	-8.529	9.088
1.000	29.000	2.000	9.000	31.274	-8.529	32.416
1.000	29.000	2.000	10.000	0.098	-15.196	15.196
1.000	29.000	2.000	1.000	38.332	-9.117	39.402
1.000	29.000	2.000	2.000	1.863	-2.941	3.481
1.000	29.000	2.000	3.000	1.961	-8.333	8.561
1.000	29.000	2.000	4.000	4.118	-5.784	7.100
1.000	29.000	2.000	5.000	-10.686	-10.392	14.906
1.000	29.000	2.000	6.000	-1.667	-1.373	2.159
1.000	29.000	2.000	7.000	2.157	-8.921	9.178
1.000	29.000	2.000	8.000	22.647	-8.039	24.031
1.000	29.000	2.000	9.000	16.568	-9.019	18.864
1.000	29.000	2.000	10.000	20.784	-10.196	23.150
1.000	29.000	2.000	1.000	19.509	8.823	21.412
1.000	29.000	2.000	2.000	-14.902	-3.333	15.270
1.000	29.000	2.000	3.000	20.000	-6.568	21.051
1.000	29.000	2.000	4.000	-53.920	0.784	53.926
1.000	29.000	2.000	5.000	-9.706	2.647	10.060
1.000	29.000	2.000	6.000	-46.077	2.843	46.165
1.000	29.000	2.000	7.000	47.646	-8.921	48.474
1.000	29.000	2.000	8.000	-34.117	0.000	34.117
1.000	29.000	2.000	9.000	27.450	-8.627	28.774
1.000	29.000	2.000	10.000	-37.352	9.412	38.520
1.000	29.000	2.000	1.000	-30.097	-7.647	31.054
1.000	29.000	2.000	2.000	-38.529	1.471	38.557
1.000	29.000	2.000	3.000	5.882	-7.745	9.725
1.000	29.000	2.000	4.000	24.313	-8.627	25.798
1.000	29.000	2.000	5.000	6.568	-6.863	9.499
1.000	29.000	2.000	6.000	34.313	-12.549	36.536
1.000	29.000	2.000	7.000	-10.686	-8.529	13.673
1.000	29.000	2.000	8.000	-24.019	-5.490	24.638
1.000	29.000	2.000	9.000	28.431	-0.784	28.442
1.000	29.000	2.000	10.000	-6.863	-11.274	13.199
1.000	29.000	2.000	1.000	45.195	-1.863	45.233
1.000	29.000	2.000	2.000	44.117	-7.941	44.826
1.000	29.000	2.000	3.000	-34.313	-12.549	36.536
1.000	29.000	2.000	4.000	-21.666	-1.667	21.730
1.000	29.000	2.000	5.000	-0.196	-6.078	6.081
1.000	29.000	2.000	6.000	-20.000	-17.156	26.350
1.000	29.000	2.000	7.000	-2.843	-3.235	4.307
1.000	29.000	2.000	8.000	-14.902	-0.588	14.913
1.000	29.000	2.000	9.000	20.588	-8.431	22.247
1.000	29.000	2.000	10.000	36.470	-7.843	37.304
1.000	29.000	2.000	1.000	12.745	-5.882	14.037
1.000	29.000	2.000	2.000	-31.078	-6.176	31.685
1.000	29.000	2.000	3.000	20.588	-9.117	22.516
1.000	29.000	2.000	4.000	-35.685	-11.666	37.544
1.000	29.000	2.000	5.000	23.627	-5.588	24.279
1.000	29.000	2.000	6.000	-4.706	-2.549	5.352
1.000	29.000	2.000	7.000	17.156	-6.274	18.268
1.000	29.000	2.000	8.000	-33.333	1.471	33.365
1.000	29.000	2.000	9.000	-33.725	-12.451	35.950
1.000	29.000	2.000	10.000	20.490	-6.765	21.577
1.000	29.000	2.000	1.000	-17.254	-1.569	17.326
1.000	29.000	2.000	2.000	-14.411	-2.157	14.572
1.000	29.000	2.000	3.000	-2.157	-6.274	6.635
1.000	29.000	2.000	4.000	12.941	-4.118	13.580
1.000	29.000	2.000	5.000	6.568	-0.490	6.587
1.000	29.000	2.000	6.000	-3.431	-4.314	5.512
1.000	29.000	2.000	7.000	-2.843	-2.647	3.885
1.000	29.000	2.000	8.000	6.176	-9.314	11.175
1.000	29.000	2.000	9.000	14.117	-4.706	14.881
1.000	29.000	2.000	10.000	6.470	-2.843	7.068
