Grp	sID	Phase	Trial	S/L	L/R	RE	
1.000	37.000	2.000	1.000	6.750	-9.827	11.922
1.000	37.000	2.000	2.000	24.599	-14.772	28.694
1.000	37.000	2.000	3.000	71.780	-24.391	75.811
1.000	37.000	2.000	4.000	-10.445	-20.095	22.647
1.000	37.000	2.000	5.000	-10.718	-10.379	14.920
1.000	37.000	2.000	6.000	-39.271	-8.846	40.255
1.000	37.000	2.000	7.000	-5.427	-14.119	15.126
1.000	37.000	2.000	8.000	40.779	-20.596	45.685
1.000	37.000	2.000	9.000	7.717	-16.404	18.129
1.000	37.000	2.000	10.000	1.931	-14.724	14.850
1.000	37.000	2.000	1.000	25.679	-14.480	29.481
1.000	37.000	2.000	2.000	-13.876	-18.713	23.297
1.000	37.000	2.000	3.000	-26.812	-10.247	28.703
1.000	37.000	2.000	4.000	36.154	-26.572	44.868
1.000	37.000	2.000	5.000	-38.974	-7.375	39.665
1.000	37.000	2.000	6.000	9.381	-18.665	20.890
1.000	37.000	2.000	7.000	-7.667	-5.970	9.717
1.000	37.000	2.000	8.000	17.128	-20.840	26.976
1.000	37.000	2.000	9.000	-5.917	-13.824	15.037
1.000	37.000	2.000	10.000	-3.063	-10.003	10.461
1.000	37.000	2.000	1.000	0.068	-14.229	14.229
1.000	37.000	2.000	2.000	-30.439	-8.865	31.704
1.000	37.000	2.000	3.000	12.913	-19.065	23.026
1.000	37.000	2.000	4.000	-45.540	-3.239	45.655
1.000	37.000	2.000	5.000	-39.274	-9.926	40.508
1.000	37.000	2.000	6.000	-11.609	-13.812	18.042
1.000	37.000	2.000	7.000	8.498	-18.467	20.328
1.000	37.000	2.000	8.000	-21.706	-9.080	23.529
1.000	37.000	2.000	9.000	-12.883	-12.828	18.180
1.000	37.000	2.000	10.000	0.071	-12.757	12.757
1.000	37.000	2.000	1.000	-6.613	-18.140	19.308
1.000	37.000	2.000	2.000	40.065	12.868	42.081
1.000	37.000	2.000	3.000	-14.043	-4.975	14.898
1.000	37.000	2.000	4.000	12.716	-19.163	22.998
1.000	37.000	2.000	5.000	-17.966	-3.887	18.382
1.000	37.000	2.000	6.000	18.598	-22.119	28.899
1.000	37.000	2.000	7.000	-27.490	-6.026	28.142
1.000	37.000	2.000	8.000	5.951	-16.499	17.539
1.000	37.000	2.000	9.000	0.264	-14.230	14.232
1.000	37.000	2.000	10.000	-16.107	-6.148	17.240
1.000	37.000	2.000	1.000	-23.851	-2.501	23.982
1.000	37.000	2.000	2.000	4.500	-6.486	7.894
1.000	37.000	2.000	3.000	-41.917	-7.172	42.526
1.000	37.000	2.000	4.000	2.150	-4.028	4.566
1.000	37.000	2.000	5.000	-7.163	0.310	7.170
1.000	37.000	2.000	6.000	-30.030	-1.114	30.051
1.000	37.000	2.000	7.000	20.860	-19.573	28.605
1.000	37.000	2.000	8.000	-3.567	-16.184	16.572
1.000	37.000	2.000	9.000	4.209	-4.916	6.471
1.000	37.000	2.000	10.000	27.942	-11.737	30.307
1.000	37.000	2.000	1.000	-33.365	-0.125	33.365
1.000	37.000	2.000	2.000	32.162	-11.550	34.173
1.000	37.000	2.000	3.000	29.024	-10.464	30.853
1.000	37.000	2.000	4.000	12.449	-6.209	13.912
1.000	37.000	2.000	5.000	-15.901	-1.929	16.018
1.000	37.000	2.000	6.000	31.073	-16.258	35.069
1.000	37.000	2.000	7.000	38.645	-8.718	39.616
1.000	37.000	2.000	8.000	-39.163	-3.940	39.360
1.000	37.000	2.000	9.000	11.943	-13.764	18.223
1.000	37.000	2.000	10.000	-21.991	-4.762	22.501
1.000	37.000	2.000	1.000	10.377	-11.896	15.786
1.000	37.000	2.000	2.000	9.803	-4.633	10.843
1.000	37.000	2.000	3.000	-34.445	-0.712	34.453
1.000	37.000	2.000	4.000	6.172	-4.625	7.713
1.000	37.000	2.000	5.000	16.086	-3.665	16.498
1.000	37.000	2.000	6.000	16.767	-6.120	17.849
1.000	37.000	2.000	7.000	26.460	-16.739	31.310
1.000	37.000	2.000	8.000	13.363	8.215	15.686
1.000	37.000	2.000	9.000	2.732	-7.169	7.672
1.000	37.000	2.000	10.000	-14.823	-2.422	15.019
1.000	37.000	2.000	1.000	4.198	-10.018	10.862
1.000	37.000	2.000	2.000	3.595	-16.592	16.977
1.000	37.000	2.000	3.000	-13.643	-1.345	13.709
1.000	37.000	2.000	4.000	-28.072	-3.178	28.252
1.000	37.000	2.000	5.000	34.313	-15.480	37.643
1.000	37.000	2.000	6.000	45.216	-10.498	46.419
1.000	37.000	2.000	7.000	-2.955	-5.097	5.891
1.000	37.000	2.000	8.000	16.369	-8.769	18.570
1.000	37.000	2.000	9.000	31.865	-13.021	34.423
1.000	37.000	2.000	10.000	-31.499	0.362	31.501
